,close,high,low,open,volume
2018. 03. 21.,107.55,116.53,101.33,108.59,"358,308"
2018. 03. 20.,108.33,112.22,101.75,108.77,"379,951"
2018. 03. 19.,107.93,112.16,100.08,104.55,"424,318"
2018. 03. 18.,104.83,106.14,84.83,105.10,"357,301"
2018. 03. 17.,105.33,120.19,103.54,115.67,"246,461"
2018. 03. 16.,114.48,133.06,114.39,127.51,"474,925"
2018. 03. 15.,127.65,137.55,114.90,133.63,"841,965"
2018. 03. 14.,133.65,162.71,119.81,152.43,"670,116"
2018. 03. 13.,152.46,161.75,147.77,159.25,"389,270"
2018. 03. 12.,159.46,176.46,151.27,175.33,"609,605"
2018. 03. 11.,175.60,175.61,151.65,160.15,"792,959"
2018. 03. 10.,160.77,192.37,155.92,176.05,"432,756"
2018. 03. 09.,176.11,181.37,154.10,162.07,"714,730"
2018. 03. 08.,168.90,195.43,164.30,173.07,"521,059"
2018. 03. 07.,173.34,206.85,168.90,192.78,"1,106,170"
2018. 03. 06.,192.74,208.79,179.32,202.71,"812,972"
2018. 03. 05.,203.08,226.63,191.30,214.68,"868,874"
2018. 03. 04.,214.69,239.13,212.59,229.97,"486,390"
2018. 03. 03.,226.20,245.66,206.72,207.72,"447,399"
2018. 03. 02.,210.25,228.59,196.46,222.07,"590,505"
2018. 03. 01.,221.37,228.30,209.29,214.91,"320,215"
2018. 02. 28.,214.84,250.33,213.05,250.33,"242,228"
2018. 02. 27.,248.30,263.21,234.29,242.98,"161,252"
2018. 02. 26.,242.32,260.89,231.54,232.51,"372,012"
2018. 02. 25.,232.35,242.35,218.64,223.07,"167,015"
2018. 02. 24.,222.94,242.11,213.39,225.05,"244,051"
2018. 02. 23.,227.06,248.77,212.08,230.65,"422,672"
2018. 02. 22.,231.61,265.28,210.33,248.70,"408,549"
2018. 02. 21.,249.05,275.11,248.03,270.94,"425,252"
2018. 02. 20.,270.69,305.52,260.70,263.11,"441,466"
2018. 02. 19.,262.99,290.36,255.37,273.01,"281,660"
2018. 02. 18.,273.46,303.96,254.97,303.96,"362,683"
2018. 02. 17.,303.49,304.73,278.53,288.25,"215,053"
2018. 02. 16.,286.60,314.83,259.42,297.61,"375,869"
2018. 02. 15.,298.29,316.15,285.92,310.38,"284,007"
2018. 02. 14.,309.72,310.04,255.03,256.77,"222,206"
2018. 02. 13.,257.47,278.88,242.79,261.96,"157,123"
2018. 02. 12.,272.81,286.97,261.57,273.33,"133,613"
2018. 02. 11.,272.00,283.20,253.79,278.61,"132,946"
2018. 02. 10.,278.96,302.45,265.02,287.30,"134,022"
2018. 02. 09.,287.27,295.11,261.02,279.02,"143,917"
2018. 02. 08.,278.58,310.06,267.84,267.84,"492,661"
2018. 02. 07.,268.49,309.04,258.40,274.41,"552,699"
2018. 02. 06.,273.46,274.87,196.37,245.50,"1,020,650"
2018. 02. 05.,244.83,315.85,220.77,308.00,"555,309"
2018. 02. 04.,311.38,362.76,293.83,350.97,"462,325"
2018. 02. 03.,351.01,363.24,317.32,332.70,"735,091"
2018. 02. 02.,331.96,360.68,251.46,352.07,"861,162"
2018. 02. 01.,353.22,435.80,326.54,404.99,"553,054"
2018. 01. 31.,404.91,404.91,334.35,362.40,"617,816"
2018. 01. 30.,358.97,406.21,332.88,405.75,"963,779"
2018. 01. 29.,402.69,414.48,376.25,401.35,"809,086"
2018. 01. 28.,401.43,428.67,382.22,383.28,"1,059,580"
2018. 01. 27.,384.55,406.72,365.23,372.38,"505,141"
2018. 01. 26.,372.40,402.89,319.88,387.28,"985,983"
2018. 01. 25.,389.16,413.32,370.13,375.66,"1,176,550"
2018. 01. 24.,367.39,382.56,329.85,347.36,"789,267"
2018. 01. 23.,347.34,365.54,314.40,361.21,"612,023"
2018. 01. 22.,361.91,398.15,330.09,382.70,"613,026"
2018. 01. 21.,380.41,429.99,347.99,429.99,"818,717"
2018. 01. 20.,429.95,508.57,413.63,415.56,"1,641,620"
2018. 01. 19.,414.68,423.15,344.51,344.51,"889,892"
2018. 01. 18.,347.90,417.31,296.04,312.97,"822,200"
2018. 01. 17.,307.24,348.99,226.20,327.39,"677,491"
2018. 01. 16.,329.19,396.69,265.97,395.65,"656,337"
2018. 01. 15.,393.63,432.15,383.60,408.71,"509,700"
