,close,high,low,open,volume
2018. 03. 21.,13.97,14.94,13.36,14.11,"4,889,040"
2018. 03. 20.,14.05,14.20,12.44,12.74,"5,938,950"
2018. 03. 19.,12.63,12.95,11.63,12.22,"5,410,120"
2018. 03. 18.,12.13,12.43,10.08,11.60,"5,408,010"
2018. 03. 17.,11.65,13.30,11.39,13.28,"5,274,790"
2018. 03. 16.,13.23,13.86,12.26,12.80,"5,058,330"
2018. 03. 15.,12.90,13.65,11.87,13.37,"5,762,170"
2018. 03. 14.,13.39,15.93,12.96,15.44,"7,111,590"
2018. 03. 13.,15.44,16.59,15.18,15.44,"7,763,470"
2018. 03. 12.,15.50,17.24,15.08,16.87,"8,972,400"
2018. 03. 11.,16.90,17.25,14.53,15.04,"11,506,800"
2018. 03. 10.,15.04,16.87,14.96,16.29,"7,542,830"
2018. 03. 09.,16.29,16.33,13.48,15.65,"10,970,900"
2018. 03. 08.,15.77,19.03,15.77,18.58,"11,567,900"
2018. 03. 07.,18.65,25.13,16.80,25.13,"49,911,600"
2018. 03. 06.,24.97,28.59,19.74,20.29,"89,312,500"
2018. 03. 05.,20.50,21.31,18.58,18.70,"14,493,100"
2018. 03. 04.,18.71,19.42,18.58,19.25,"13,728,600"
2018. 03. 03.,19.27,20.28,19.02,19.89,"16,624,800"
2018. 03. 02.,19.79,20.65,17.94,18.67,"20,874,500"
2018. 03. 01.,18.76,19.97,17.36,18.60,"23,994,500"
2018. 02. 28.,18.67,22.55,17.63,22.26,"21,485,200"
2018. 02. 27.,22.30,22.94,21.30,21.81,"6,375,800"
2018. 02. 26.,21.85,22.58,20.86,22.12,"9,737,710"
2018. 02. 25.,22.00,22.49,21.07,21.45,"8,519,400"
2018. 02. 24.,21.51,23.36,20.49,21.18,"5,162,820"
2018. 02. 23.,21.28,21.70,19.42,20.29,"4,823,950"
2018. 02. 22.,20.28,23.42,19.55,21.05,"9,813,410"
2018. 02. 21.,21.07,23.17,19.85,23.17,"6,966,240"
2018. 02. 20.,23.19,25.68,22.17,25.39,"13,582,000"
2018. 02. 19.,25.45,26.37,23.91,24.00,"7,885,530"
2018. 02. 18.,24.09,27.16,23.75,26.71,"7,406,650"
2018. 02. 17.,26.86,28.06,26.47,26.98,"9,897,960"
2018. 02. 16.,26.98,27.95,25.42,27.77,"12,009,500"
2018. 02. 15.,27.91,28.59,23.22,23.78,"17,722,800"
2018. 02. 14.,23.75,24.46,21.24,21.33,"9,998,060"
2018. 02. 13.,21.38,22.49,20.74,22.39,"5,591,530"
2018. 02. 12.,22.38,22.73,20.15,20.43,"7,053,040"
2018. 02. 11.,20.33,22.26,19.17,22.26,"6,364,060"
2018. 02. 10.,22.27,28.23,20.94,24.68,"14,413,000"
2018. 02. 09.,24.91,24.93,21.49,22.67,"1,181,550"
2018. 02. 08.,22.62,23.52,20.15,20.15,"16,211,700"
2018. 02. 07.,20.15,25.49,20.13,22.70,"15,012,200"
2018. 02. 06.,22.83,23.35,13.59,17.71,"21,608,300"
2018. 02. 05.,17.52,24.40,15.27,23.35,"16,172,000"
2018. 02. 04.,23.53,28.97,21.70,28.22,"16,479,100"
2018. 02. 03.,28.36,30.46,22.19,24.90,"21,908,800"
2018. 02. 02.,24.79,27.59,16.77,27.47,"22,530,900"
2018. 02. 01.,27.60,32.72,24.42,32.27,"20,079,600"
2018. 01. 31.,32.24,33.41,30.79,32.35,"15,983,900"
2018. 01. 30.,32.30,38.58,30.20,37.83,"40,530,500"
2018. 01. 29.,37.89,40.73,35.25,39.85,"62,793,700"
2018. 01. 28.,39.83,45.96,34.52,42.10,"119,525,000"
2018. 01. 27.,41.73,43.74,36.95,38.35,"95,696,000"
2018. 01. 26.,38.02,38.42,30.72,33.05,"62,688,700"
2018. 01. 25.,33.16,36.86,31.99,36.86,"43,290,700"
2018. 01. 24.,36.55,38.46,29.38,30.02,"115,482,000"
2018. 01. 23.,29.92,33.02,26.43,28.81,"80,665,700"
2018. 01. 22.,28.86,29.92,22.49,28.32,"57,289,000"
2018. 01. 21.,27.92,30.96,24.89,26.89,"65,992,800"
2018. 01. 20.,27.32,27.89,22.29,22.64,"49,287,800"
2018. 01. 19.,22.30,23.87,20.54,21.62,"41,197,800"
2018. 01. 18.,21.87,24.94,19.08,19.19,"55,600,600"
2018. 01. 17.,19.51,21.43,14.12,19.28,"46,581,400"
2018. 01. 16.,19.22,24.60,15.13,23.56,"59,669,700"
2018. 01. 15.,23.46,31.01,23.02,25.64,"50,917,800"
2018. 01. 14.,26.40,30.90,24.60,28.95,"90,227,300"
2018. 01. 13.,28.92,43.34,22.60,23.55,"325,576,000"
2018. 01. 12.,23.46,24.07,14.66,15.24,"85,084,300"
2018. 01. 11.,15.14,18.13,13.48,17.15,"26,736,100"
2018. 01. 10.,17.35,20.39,14.03,14.47,"62,152,000"
2018. 01. 09.,14.58,15.45,13.98,15.01,"28,357,200"
2018. 01. 08.,15.01,17.12,13.05,16.36,"32,463,700"
2018. 01. 07.,16.35,17.06,14.53,16.13,"47,556,700"
2018. 01. 06.,14.89,16.44,9.91,9.91,"62,498,100"
2018. 01. 05.,10.01,11.12,9.60,9.72,"30,884,700"
2018. 01. 04.,9.70,11.29,9.64,10.86,"25,815,500"
2018. 01. 03.,10.89,11.85,9.93,11.60,"32,263,600"
2018. 01. 02.,11.47,12.18,10.38,11.38,"31,560,000"
2018. 01. 01.,11.34,11.90,10.62,11.38,"27,012,000"
2017. 12. 31.,11.31,11.98,10.13,10.26,"22,289,500"
2017. 12. 30.,10.30,11.46,10.00,11.31,"19,622,800"
2017. 12. 29.,11.33,12.22,11.12,12.03,"23,031,900"
2017. 12. 28.,11.94,11.94,9.72,11.59,"17,328,600"
2017. 12. 27.,11.69,12.49,10.86,11.41,"14,221,200"
2017. 12. 26.,11.41,12.74,10.35,12.73,"19,032,500"
2017. 12. 25.,12.52,14.24,11.73,13.68,"20,780,700"
2017. 12. 24.,13.13,15.43,12.84,15.36,"16,113,800"
2017. 12. 23.,15.30,16.39,12.44,13.14,"14,593,400"
2017. 12. 22.,12.51,17.33,8.80,16.48,"15,930,700"
2017. 12. 21.,16.56,19.85,13.73,17.03,"32,328,500"
2017. 12. 20.,16.63,17.75,10.63,12.05,"49,304,200"
2017. 12. 19.,12.09,14.68,11.31,12.27,"11,175,900"
2017. 12. 18.,12.10,12.10,9.38,10.57,"17,488,000"
2017. 12. 17.,10.36,12.06,8.66,8.80,"23,229,200"
2017. 12. 16.,8.75,8.75,8.09,8.09,"12,427,100"
2017. 12. 15.,8.07,8.36,7.53,8.07,"14,490,000"
2017. 12. 14.,8.04,8.79,7.18,7.28,"16,553,300"
2017. 12. 13.,7.36,7.73,6.99,7.27,"15,391,700"
2017. 12. 12.,7.31,7.97,6.99,7.21,"19,057,700"
2017. 12. 11.,7.31,7.66,6.83,7.00,"12,740,900"
2017. 12. 10.,7.00,8.09,6.84,8.09,"11,443,400"
2017. 12. 09.,8.08,9.29,7.92,8.67,"17,621,900"
2017. 12. 08.,8.61,9.54,6.93,7.59,"24,314,400"
2017. 12. 07.,7.78,8.69,7.23,8.36,"17,201,500"
2017. 12. 06.,8.44,9.56,7.86,9.27,"19,600,000"
2017. 12. 05.,9.10,10.37,9.07,9.21,"14,947,700"
2017. 12. 04.,9.20,9.85,8.77,9.36,"13,118,600"
2017. 12. 03.,9.40,10.59,8.62,9.68,"26,299,700"
2017. 12. 02.,9.63,9.69,8.01,8.28,"19,238,100"
2017. 12. 01.,8.42,8.47,6.40,6.78,"20,934,400"
2017. 11. 30.,6.70,7.11,4.90,5.19,"13,012,100"
2017. 11. 29.,5.11,6.03,5.02,5.62,"10,911,200"
2017. 11. 28.,5.61,6.77,5.32,6.45,"18,013,900"
2017. 11. 27.,6.38,8.03,4.74,5.20,"31,274,700"
2017. 11. 26.,5.20,5.34,4.95,5.18,"11,046,800"
2017. 11. 25.,5.21,5.45,4.82,4.83,"14,023,000"
2017. 11. 24.,4.90,5.30,4.29,4.36,"14,558,200"
2017. 11. 23.,4.37,4.76,4.27,4.66,"11,358,300"
2017. 11. 22.,4.68,4.85,4.47,4.74,"13,278,400"
2017. 11. 21.,4.69,5.04,4.60,5.00,"12,881,900"
2017. 11. 20.,5.00,5.28,4.61,4.91,"16,891,000"
2017. 11. 19.,4.91,5.15,4.77,5.05,"17,371,700"
2017. 11. 18.,5.06,5.16,4.56,4.73,"14,891,000"
2017. 11. 17.,4.70,5.46,4.47,4.71,"8,662,410"
2017. 11. 16.,4.72,5.26,4.71,5.20,"7,616,310"
2017. 11. 15.,5.17,5.56,4.95,5.28,"6,528,410"
2017. 11. 14.,5.28,5.37,4.92,5.22,"6,319,000"
2017. 11. 13.,5.23,5.52,4.50,4.50,"8,365,780"
2017. 11. 12.,4.50,5.24,4.30,5.22,"9,364,360"
2017. 11. 11.,5.20,5.73,4.99,5.27,"9,281,590"
2017. 11. 10.,5.31,6.35,4.93,6.19,"13,493,300"
2017. 11. 09.,6.19,6.70,5.83,6.57,"11,325,700"
2017. 11. 08.,6.63,7.71,4.77,4.84,"24,664,000"
2017. 11. 07.,4.91,5.03,4.79,4.91,"7,349,530"
