,close,high,low,open,volume
2018. 03. 21.,5.00,5.20,4.90,5.03,"21,143,800"
2018. 03. 20.,5.02,5.08,4.71,4.85,"23,723,900"
2018. 03. 19.,4.80,4.85,4.39,4.39,"19,329,400"
2018. 03. 18.,4.41,4.58,3.87,4.58,"22,563,500"
2018. 03. 17.,4.61,5.03,4.56,5.01,"19,627,900"
2018. 03. 16.,5.01,5.28,4.86,5.22,"21,433,900"
2018. 03. 15.,5.22,5.37,4.63,4.98,"24,144,400"
2018. 03. 14.,4.98,5.72,4.82,5.55,"22,462,700"
2018. 03. 13.,5.56,5.77,5.40,5.56,"22,695,500"
2018. 03. 12.,5.58,5.99,5.39,5.88,"25,160,400"
2018. 03. 11.,5.90,5.99,5.29,5.52,"21,654,300"
2018. 03. 10.,5.55,6.08,5.51,5.87,"18,057,800"
2018. 03. 09.,5.88,6.01,5.15,5.84,"25,548,400"
2018. 03. 08.,5.87,6.46,5.82,6.20,"31,160,000"
2018. 03. 07.,6.21,6.32,5.56,6.16,"27,654,600"
2018. 03. 06.,6.18,6.76,6.13,6.76,"23,312,400"
2018. 03. 05.,6.75,7.03,6.75,6.86,"26,863,300"
2018. 03. 04.,6.86,6.90,6.60,6.89,"22,357,700"
2018. 03. 03.,6.90,6.95,6.64,6.66,"19,895,900"
2018. 03. 02.,6.68,6.74,6.50,6.63,"19,421,300"
2018. 03. 01.,6.64,6.80,6.14,6.30,"23,214,300"
2018. 02. 28.,6.29,6.88,6.29,6.62,"23,822,800"
2018. 02. 27.,6.59,6.89,6.57,6.71,"23,597,200"
2018. 02. 26.,6.70,6.84,6.36,6.49,"21,780,800"
2018. 02. 25.,6.49,6.64,6.27,6.56,"20,420,000"
2018. 02. 24.,6.56,6.99,6.43,6.75,"20,271,100"
2018. 02. 23.,6.75,6.97,6.35,6.58,"24,788,900"
2018. 02. 22.,6.58,7.56,6.51,7.26,"28,774,100"
2018. 02. 21.,7.27,8.54,7.15,8.02,"39,877,300"
2018. 02. 20.,8.03,8.49,7.94,8.10,"46,087,500"
2018. 02. 19.,8.10,8.15,7.44,7.54,"37,813,100"
2018. 02. 18.,7.54,8.09,7.13,7.84,"40,081,300"
2018. 02. 17.,7.84,7.96,7.63,7.88,"34,458,200"
2018. 02. 16.,7.90,8.36,7.49,8.00,"44,143,700"
2018. 02. 15.,8.07,8.07,6.38,6.42,"61,670,200"
2018. 02. 14.,6.42,6.44,5.58,5.59,"20,068,500"
2018. 02. 13.,5.60,5.76,5.40,5.74,"17,030,400"
2018. 02. 12.,5.72,5.89,5.49,5.49,"20,167,600"
2018. 02. 11.,5.45,5.72,5.01,5.72,"21,599,600"
2018. 02. 10.,5.72,6.32,5.47,6.06,"29,552,400"
2018. 02. 09.,6.04,6.09,5.30,5.60,"24,332,800"
2018. 02. 08.,5.58,6.00,4.92,4.92,"31,567,200"
2018. 02. 07.,4.97,5.66,4.59,5.01,"16,135,000"
2018. 02. 06.,5.06,5.15,3.66,4.54,"20,248,500"
2018. 02. 05.,4.54,5.95,4.36,5.71,"22,395,200"
2018. 02. 04.,5.74,6.75,5.57,6.64,"25,765,100"
2018. 02. 03.,6.63,6.85,5.74,6.21,"23,023,200"
2018. 02. 02.,6.20,6.65,5.35,6.65,"26,726,300"
2018. 02. 01.,6.67,7.79,6.35,7.70,"27,774,000"
2018. 01. 31.,7.68,7.93,7.24,7.63,"27,535,700"
2018. 01. 30.,7.61,8.78,7.52,8.71,"29,051,000"
2018. 01. 29.,8.71,9.30,8.54,9.19,"33,554,900"
2018. 01. 28.,9.20,9.53,9.02,9.17,"34,527,300"
2018. 01. 27.,9.11,9.46,8.86,8.95,"39,528,900"
2018. 01. 26.,8.96,9.36,8.32,9.04,"34,796,200"
2018. 01. 25.,9.06,9.23,8.72,8.92,"38,346,500"
