,close,high,low,open,volume
2018. 03. 21.,260.07,280.69,254.88,259.76,"69,577,100"
2018. 03. 20.,259.24,267.10,237.73,255.75,"54,027,600"
2018. 03. 19.,252.62,252.62,228.66,244.59,"58,323,800"
2018. 03. 18.,244.38,247.40,204.01,220.19,"59,834,200"
2018. 03. 17.,220.48,236.82,219.43,236.82,"41,086,300"
2018. 03. 16.,236.75,247.62,233.75,243.08,"43,510,900"
2018. 03. 15.,242.99,253.67,233.76,250.25,"45,521,300"
2018. 03. 14.,250.69,289.24,246.13,284.55,"52,691,100"
2018. 03. 13.,284.37,301.77,279.99,290.44,"46,337,600"
2018. 03. 12.,291.69,314.98,280.21,308.76,"51,763,700"
2018. 03. 11.,309.70,318.36,278.95,287.68,"55,436,800"
2018. 03. 10.,288.51,318.73,286.84,310.89,"51,613,200"
2018. 03. 09.,310.95,320.25,282.48,316.96,"75,390,500"
2018. 03. 08.,318.39,350.47,315.54,347.68,"57,779,600"
2018. 03. 07.,347.58,387.00,332.48,384.21,"59,469,300"
2018. 03. 06.,384.43,392.39,376.93,392.39,"57,546,200"
2018. 03. 05.,391.87,409.77,391.87,408.78,"57,656,400"
2018. 03. 04.,409.29,409.29,384.10,386.92,"63,635,000"
2018. 03. 03.,387.67,406.22,382.61,387.02,"61,064,800"
2018. 03. 02.,387.84,402.19,375.42,399.43,"54,698,000"
2018. 03. 01.,400.28,402.42,381.24,382.62,"44,341,900"
2018. 02. 28.,382.03,416.71,382.03,408.52,"53,379,100"
2018. 02. 27.,408.97,418.40,400.20,405.05,"44,954,300"
2018. 02. 26.,404.24,414.70,384.44,391.65,"56,278,600"
2018. 02. 25.,391.25,396.78,382.17,391.60,"50,147,900"
2018. 02. 24.,392.28,423.30,379.90,415.35,"57,684,200"
2018. 02. 23.,416.32,424.32,382.68,396.84,"65,084,700"
2018. 02. 22.,397.79,449.35,396.53,441.61,"70,323,100"
2018. 02. 21.,434.80,463.42,418.26,438.75,"98,094,200"
2018. 02. 20.,438.57,482.53,436.72,474.24,"92,509,400"
2018. 02. 19.,472.97,486.84,447.04,449.52,"89,904,700"
2018. 02. 18.,451.02,492.31,447.43,491.61,"75,407,700"
2018. 02. 17.,490.84,495.78,475.58,480.43,"89,428,000"
2018. 02. 16.,481.52,495.66,465.98,484.19,"81,125,600"
2018. 02. 15.,486.75,489.54,465.38,483.83,"91,880,100"
2018. 02. 14.,483.79,485.37,445.52,445.52,"95,177,000"
2018. 02. 13.,447.13,463.24,432.72,462.04,"69,848,500"
2018. 02. 12.,462.24,472.46,436.66,436.66,"73,819,900"
2018. 02. 11.,434.16,482.73,412.92,482.73,"87,156,000"
2018. 02. 10.,483.42,511.75,460.09,475.10,"124,973,000"
2018. 02. 09.,475.72,476.12,401.43,437.10,"109,467,000"
2018. 02. 08.,435.91,437.83,355.69,355.69,"113,216,000"
2018. 02. 07.,354.35,391.06,327.84,368.75,"95,854,600"
2018. 02. 06.,372.38,375.39,262.31,307.35,"140,867,000"
2018. 02. 05.,303.61,349.36,281.14,343.02,"56,414,800"
2018. 02. 04.,346.91,404.10,333.99,388.73,"45,202,600"
2018. 02. 03.,388.55,405.03,345.66,384.51,"53,483,300"
2018. 02. 02.,383.55,398.83,306.53,398.83,"113,633,000"
2018. 02. 01.,400.74,409.40,367.09,399.26,"117,572,000"
2018. 01. 31.,397.88,398.27,362.60,383.87,"77,064,800"
2018. 01. 30.,383.47,448.92,381.45,448.92,"77,962,100"
2018. 01. 29.,448.62,476.64,443.14,471.43,"75,045,800"
2018. 01. 28.,471.99,476.91,453.47,453.47,"74,527,600"
2018. 01. 27.,451.69,465.78,437.08,456.53,"71,220,400"
2018. 01. 26.,456.94,491.47,429.65,473.68,"87,992,700"
2018. 01. 25.,472.97,475.46,451.97,457.58,"85,020,800"
2018. 01. 24.,451.73,465.27,428.28,442.12,"78,432,400"
2018. 01. 23.,442.00,468.72,406.75,446.40,"79,187,400"
2018. 01. 22.,446.79,507.23,416.30,492.55,"78,727,100"
2018. 01. 21.,487.02,561.81,479.30,559.72,"94,691,700"
2018. 01. 20.,557.60,565.23,518.56,528.86,"126,555,000"
2018. 01. 19.,524.34,553.12,482.91,486.59,"163,175,000"
2018. 01. 18.,490.08,540.89,484.21,497.68,"128,385,000"
2018. 01. 17.,496.82,528.83,397.98,509.27,"171,892,000"
2018. 01. 16.,513.66,685.68,460.10,627.14,"283,879,000"
2018. 01. 15.,627.99,685.82,627.99,671.73,"157,346,000"
2018. 01. 14.,675.76,720.03,652.39,701.85,"142,911,000"
2018. 01. 13.,701.58,721.63,693.48,703.76,"151,405,000"
2018. 01. 12.,700.81,719.57,622.29,651.18,"185,898,000"
2018. 01. 11.,646.60,729.01,609.46,719.10,"221,531,000"
2018. 01. 10.,721.40,728.46,630.14,672.39,"245,168,000"
2018. 01. 09.,672.78,723.29,644.06,693.24,"213,921,000"
2018. 01. 08.,695.49,896.28,601.87,884.27,"282,955,000"
2018. 01. 07.,880.76,955.26,750.39,756.37,"542,981,000"
2018. 01. 06.,764.26,780.84,578.69,587.91,"305,643,000"
2018. 01. 05.,588.86,606.11,573.83,590.87,"158,978,000"
2018. 01. 04.,595.19,602.00,539.10,583.08,"166,095,000"
2018. 01. 03.,581.89,593.67,561.58,581.29,"152,736,000"
2018. 01. 02.,583.51,624.97,576.00,578.08,"207,114,000"
2018. 01. 01.,577.19,621.69,489.34,508.00,"234,555,000"
2017. 12. 31.,505.51,516.36,478.63,482.82,"95,277,100"
2017. 12. 30.,486.45,574.10,478.66,574.10,"143,776,000"
2017. 12. 29.,571.90,601.50,483.99,507.97,"227,427,000"
2017. 12. 28.,507.26,560.12,490.40,552.58,"129,796,000"
2017. 12. 27.,554.07,590.16,540.62,574.16,"143,217,000"
2017. 12. 26.,573.98,573.98,551.84,560.00,"139,397,000"
2017. 12. 25.,558.84,575.16,511.03,536.13,"139,365,000"
2017. 12. 24.,532.50,595.39,449.03,595.39,"142,136,000"
2017. 12. 23.,594.62,637.24,498.77,542.19,"231,311,000"
2017. 12. 22.,536.68,656.02,381.48,652.92,"351,521,000"
