,close,high,low,open,volume
2018. 03. 21.,40.99,44.41,39.86,41.75,"2,052,100"
2018. 03. 20.,41.40,41.85,36.16,38.50,"1,768,690"
2018. 03. 19.,38.23,38.44,33.09,33.13,"1,332,900"
2018. 03. 18.,33.22,34.40,28.46,34.31,"1,288,830"
2018. 03. 17.,34.35,36.48,33.70,35.98,"903,180"
2018. 03. 16.,35.95,37.46,33.64,35.71,"1,024,240"
2018. 03. 15.,35.65,38.37,33.11,36.08,"2,099,930"
2018. 03. 14.,36.11,42.70,35.50,41.09,"1,591,700"
2018. 03. 13.,41.11,43.52,40.60,41.22,"937,751"
2018. 03. 12.,41.46,45.57,40.60,43.64,"1,256,250"
2018. 03. 11.,43.80,44.12,39.32,40.58,"784,397"
2018. 03. 10.,40.48,44.00,40.38,42.62,"941,618"
2018. 03. 09.,42.86,42.86,35.62,42.09,"2,244,250"
2018. 03. 08.,42.37,46.78,41.09,44.18,"3,828,070"
2018. 03. 07.,44.33,51.06,41.19,50.15,"5,079,780"
2018. 03. 06.,50.28,52.41,48.25,50.97,"4,072,160"
2018. 03. 05.,51.65,57.29,51.65,57.29,"4,034,100"
2018. 03. 04.,56.82,56.82,52.39,53.78,"3,609,570"
2018. 03. 03.,53.92,58.38,52.03,54.62,"3,600,510"
2018. 03. 02.,54.56,58.20,54.45,57.20,"3,985,150"
2018. 03. 01.,57.42,61.21,50.97,51.54,"4,823,590"
2018. 02. 28.,51.29,54.79,49.80,53.38,"3,789,180"
2018. 02. 27.,53.64,55.05,51.43,52.88,"3,379,860"
2018. 02. 26.,52.80,54.01,48.30,52.34,"4,130,380"
2018. 02. 25.,52.15,53.48,49.64,52.45,"3,526,390"
2018. 02. 24.,52.74,57.13,50.44,54.40,"3,772,980"
2018. 02. 23.,54.37,54.94,47.91,50.12,"4,922,830"
2018. 02. 22.,50.18,58.70,47.77,54.15,"6,244,840"
2018. 02. 21.,54.21,65.18,51.72,64.79,"5,718,960"
2018. 02. 20.,64.40,69.27,64.40,67.06,"5,083,970"
2018. 02. 19.,66.50,67.29,63.73,64.74,"4,766,800"
2018. 02. 18.,65.27,72.67,62.24,67.91,"10,359,200"
2018. 02. 17.,67.74,67.81,61.12,63.25,"5,202,840"
2018. 02. 16.,63.14,63.64,56.97,58.28,"3,593,000"
2018. 02. 15.,58.13,59.55,53.31,57.55,"4,717,130"
2018. 02. 14.,58.26,58.32,51.75,51.75,"6,171,650"
2018. 02. 13.,51.90,56.14,51.50,55.72,"5,383,320"
2018. 02. 12.,55.60,56.70,49.11,49.11,"5,619,220"
2018. 02. 11.,48.67,54.90,46.98,52.68,"6,029,960"
2018. 02. 10.,52.90,58.55,49.21,53.51,"6,084,790"
2018. 02. 09.,53.50,54.28,46.14,51.69,"6,245,140"
2018. 02. 08.,51.48,52.73,42.77,42.77,"6,817,420"
2018. 02. 07.,43.14,56.02,42.04,46.30,"5,399,680"
2018. 02. 06.,47.42,48.64,30.75,39.33,"9,799,470"
2018. 02. 05.,38.14,51.04,36.93,49.92,"5,855,050"
2018. 02. 04.,49.16,62.61,45.97,60.59,"5,539,230"
2018. 02. 03.,60.45,62.33,49.95,54.93,"6,227,780"
2018. 02. 02.,54.88,60.95,41.63,60.95,"6,830,490"
2018. 02. 01.,60.98,73.14,57.47,71.74,"6,400,680"
2018. 01. 31.,71.31,73.00,63.43,66.53,"4,840,710"
2018. 01. 30.,66.56,78.70,62.15,78.43,"4,862,850"
2018. 01. 29.,78.80,84.35,74.91,82.03,"6,814,060"
2018. 01. 28.,81.01,84.16,74.98,75.48,"7,653,900"
2018. 01. 27.,75.05,77.45,71.75,73.40,"5,145,990"
2018. 01. 26.,73.54,77.46,65.64,73.71,"6,029,000"
2018. 01. 25.,74.11,78.10,73.48,74.34,"5,746,880"
2018. 01. 24.,73.46,76.43,69.73,71.66,"4,816,120"
2018. 01. 23.,71.89,93.84,65.15,70.11,"14,048,200"
2018. 01. 22.,70.29,79.82,65.81,78.34,"3,814,790"
2018. 01. 21.,78.00,88.82,76.06,88.75,"3,283,520"
2018. 01. 20.,88.79,90.23,79.84,79.84,"5,254,950"
2018. 01. 19.,79.21,80.03,73.10,77.04,"3,702,610"
2018. 01. 18.,77.68,84.63,73.63,77.89,"5,351,040"
2018. 01. 17.,77.11,79.71,58.29,75.24,"7,786,460"
2018. 01. 16.,75.15,90.11,63.37,89.40,"9,671,480"
2018. 01. 15.,89.44,99.31,88.18,97.17,"6,685,340"
2018. 01. 14.,98.08,108.50,95.68,108.19,"5,788,610"
2018. 01. 13.,108.02,110.11,98.48,99.49,"11,774,500"
2018. 01. 12.,100.24,101.51,91.22,93.61,"10,001,700"
2018. 01. 11.,93.07,108.71,85.66,98.32,"15,598,200"
2018. 01. 10.,98.55,100.71,92.73,99.68,"9,754,380"
2018. 01. 09.,98.75,108.66,98.69,101.67,"12,186,300"
2018. 01. 08.,101.62,113.59,97.10,112.88,"14,461,700"
2018. 01. 07.,113.35,123.38,106.85,108.49,"17,993,400"
2018. 01. 06.,108.83,113.51,103.60,104.51,"14,182,700"
