,market,pair,trade_price,trade_volume
0,Binance,ZRX/BTC,$0.595757,"$3,137,870"
1,Binance,ZRX/ETH,$0.599897,"$986,775"
2,Huobi,ZRX/BTC,$0.597972,"$942,967"
3,ChaoEX,ZRX/ETH,$0.600458,"$541,262"
4,Poloniex,ZRX/BTC,$0.598107,"$427,921"
5,Bittrex,ZRX/BTC,$0.601181,"$399,824"
6,Ethfinex,ZRX/USD, $0.600000,"$314,157"
7,C2CX,ZRX/BTC,$0.596661,"$289,970"
8,Upbit,ZRX/BTC,$0.594311,"$173,405"
9,C2CX,ZRX/USDT,$0.600279,"$159,723"
10,Ethfinex,ZRX/BTC,$0.598198,"$151,641"
11,Koinex,ZRX/INR,$0.623588,"$121,561"
12,HitBTC,ZRX/USDT,$0.616266,"$109,223"
13,Liqui,ZRX/BTC,$0.596842,"$82,067"
14,Liqui,ZRX/USDT,$0.580056,"$72,197"
15,Ethfinex,ZRX/ETH,$0.601345,"$71,391"
16,Liqui,ZRX/ETH,$0.600395,"$63,561"
17,Poloniex,ZRX/ETH,$0.596516,"$60,404"
18,HitBTC,ZRX/ETH,$0.598999,"$41,436"
19,Vebitcoin,ZRX/TRY,$0.670151,"$27,072"
20,HitBTC,ZRX/BTC,$0.596661,"$26,514"
21,OKEx,ZRX/BTC,$0.589971,"$17,780"
22,Gate.io,ZRX/USDT,$0.620188,"$15,283"
23,Bittrex,ZRX/ETH,$0.601150,"$13,251"
24,OKEx,ZRX/USDT,$0.562561,"$9,088"
25,OKEx,ZRX/ETH,$0.601259,"$4,594"
26,Paradex,ZRX/WETH,$0.602882,"$4,515"
27,Radar Relay,ZRX/WETH,$0.626066,"$4,355"
28,Mercatox,ZRX/BTC,$0.641230,"$3,942"
29,Mercatox,ZRX/ETH,$0.853794,"$3,703"
30,Gate.io,ZRX/BTC,$0.612030,"$2,071"
31,Gate.io,ZRX/ETH,$0.591562,"$1,822"
32,Livecoin,ZRX/BTC,$0.605701,"$1,630"
33,DDEX,ZRX/ETH,$0.600715,"$1,330"
34,Lykke Exchange,ZRX/ETH,$0.663979,"$1,276"
35,IDEX,ZRX/ETH,$0.622799,$914
36,Livecoin,ZRX/USD,$0.661160,$386
37,Livecoin,ZRX/ETH,$0.422715,$376
38,Paradex,ZRX/DAI,$0.582445,$233
39,Upbit,ZRX/ETH,$0.587477,$20
40,Gatecoin,ZRX/BTC,$1.25, $0
41,Gatecoin,ZRX/ETH,$0.343266,$0
42,Lykke Exchange,ZRX/BTC,$0.723225,$0
43,BigONE,ZRX/BTC,$0.459339,$0
44,GOPAX,ZRX/KRW,$0.600894,"$20,783"
45,Cobinhood,ZRX/ETH,$0.617764,$185
46,Cobinhood,ZRX/BTC,$0.650722,$65
47,GOPAX,ZRX/BTC,$0.595757,$10
