,market,pair,trade_price,trade_volume
0,Binance,ELF/BTC,$0.655785,"$7,021,810"
1,Huobi,ELF/BTC,$0.655830,"$2,326,560"
2,Huobi,ELF/ETH,$0.656159,"$2,229,600"
3,Huobi,ELF/USDT,$0.656505,"$2,217,370"
4,Binance,ELF/ETH,$0.655867,"$1,991,700"
5,OKEx,ELF/USDT,$0.656405,"$1,008,120"
6,OKEx,ELF/BTC,$0.654519,"$720,815"
7,OKEx,ELF/ETH,$0.655409,"$247,965"
8,BCEX,ELF/BTC,$0.694296,"$190,431"
9,Gate.io,ELF/USDT,$0.649402,"$69,846"
10,Ethfinex,ELF/USD,$0.655240,"$68,839"
11,Bibox,ELF/BTC,$0.572162,"$37,897"
12,Ethfinex,ELF/BTC,$0.699721,"$20,889"
13,Bibox,ELF/ETH,$0.687064,"$20,527"
14,Bancor Network,ELF/BNT,$0.651229,"$18,522"
15,Vebitcoin,ELF/TRY,$0.739212,"$17,727"
16,Ethfinex,ELF/ETH,$0.649173,"$10,157"
17,Gate.io,ELF/ETH,$0.658499,"$9,606"
18,Kucoin,ELF/BTC,$0.703608,"$8,787"
19,Kucoin,ELF/ETH,$0.638189,"$3,532"
20,DDEX,ELF/ETH,$0.661931,"$1,390 "
21,IDEX,ELF/ETH,$1.70,$801
22,BigONE,ELF/BTC,$0.659039,$0
23,OTCBTC,ELF/ETH,$0.148846,$0
24,GOPAX,ELF/KRW,$0.676006,"$1,046,520"
