,market,pair,trade_price,trade_volume
0,Gate.io,AE/USDT,$1.79,"$1,099,220"
1,Binance,AE/BTC,$1.79,"$791,277"
2,Binance,AE/ETH,$1.79,"$378,980"
3,Liqui,AE/BTC,$1.77,"$106,162"
4,IDAX,AE/BTC,$1.70,"$99,579"
5,Gate.io,AE/ETH,$1.77,"$91,218"
6,Liqui,AE/ETH,$1.77,"$78,585"
7,CoinBene,AE/USDT,$1.75,"$76,608"
8,Liqui,AE/USDT,$1.75,"$59,249"
9,Binance,AE/BNB,$1.78,"$34,198"
10,LATOKEN,AE/LA,$1.78,"$29,618"
11,Mercatox,AE/ETH,$1.44,"$14,999"
12,AEX,AE/BTC,$1.77,"$9,174"
13,IDAX,AE/ETH,$1.49 ,"$8,276"
14,Gate.io,AE/BTC,$1.79,"$7,485"
15,Koinex,AE/INR,$1.89,"$6,219"
16,HitBTC,AE/BTC,$1.74,"$3,579"
17,Mercatox,AE/BTC,$2.08,"$2,331"
18,BigONE,AE/BTC,$1.72,$272
19,OTCBTC,AE/ETH,$1.54,$234
20,Lykke Exchange,AE/ETH,$1.60,$172
21,AEX,AE/BITCNY,$1.41,$111
22,Lykke Exchange,AE/BTC,$2.21,$0
23,OTCBTC,AE/BTC,$1.81,$0
