,market,pair,trade_price,trade_volume
0,Binance,AION/BTC,$3.25,"$13,596,600"
1,Binance,AION/ETH,$3.25,"$1,621,620"
2,Kucoin,AION/BTC,$3.26,"$143,221"
3,Binance,AION/BNB,$3.27,"$112,432"
4,Liqui,AION/BTC,$3.26,"$62,129"
5,Kucoin,AION/ETH,$3.32,"$56,476"
6,Liqui,AION/ETH,$3.25,"$46,840"
7,LATOKEN,AION/LA,$3.25,"$43,019"
8,Koinex,AION/INR,$3.30," $39,892"
9,Liqui,AION/USDT,$3.19,"$37,725"
10,Bancor Network,AION/BNT,$3.28,"$25,913"
11,Token Store,AION/ETH,$3.93,"$9,802"
12,IDEX,AION/ETH,$3.38,"$1,520"
13,Lykke Exchange,AION/ETH,$2.97,$308
14,Radar Relay,AION/WETH,$17.53,$0
