,market,pair,trade_price,trade_volume
0,Binance,ARK/BTC,$2.82,"$666,635"
1,Bittrex,ARK/BTC,$2.81,"$470,390"
2,Upbit,ARK/KRW,$2.89,"$263,346"
3,Upbit,ARK/BTC,$2.81,"$197,269"
4,Binance,ARK/ETH,$2.84,"$156,162"
5,Bit-Z,ARK/BTC,$2.76,"$87,773"
6,Cryptopia,ARK/BTC,$2.70,"$9,142"
7,Livecoin,ARK/BTC,$2.71,"$4,358"
8,Cryptopia,ARK/USDT,$2.81,"$2,695"
9,LiteBit.eu,ARK/EUR,$2.81,"$1,350"
10,OKEx,ARK/BTC,$2.82,"$1,198"
11,COSS,ARK/BTC,$2.80,"$1,085"
12,COSS,ARK/ETH,$2.95,$767
13,OKEx,ARK/USDT,$2.78,$210
14,Livecoin,ARK/ETH,$2.88,$58
15,OKEx,ARK/ETH,$2.89,$3
16,Livecoin,ARK/USD,$3.10,$1
17,Cryptomate,ARK/GBP,$3.08,$0
18,Abucoins,ARK/BTC,$2.98,$0
