,market,pair,trade_price,trade_volume
0,Bittrex,REP/BTC,$36.46,"$319,585"
1,ChaoEX,REP/ETH,$37.15,"$223,194"
2,Upbit,REP/BTC,$36.56,"$202,004"
3,Upbit,REP/KRW,$37.56,"$190,874"
4,Kraken,REP/EUR,$36.34,"$176,686"
5,Poloniex,REP/USDT,$36.35,"$147,512"
6,Poloniex,REP/BTC,$36.17,"$116,992"
7,Kraken,REP/ETH,$36.44,"$92,618"
8,Kraken,REP/BTC,$36.17,"$83,434"
9,Ethfinex,REP/USD,$35.91,"$67,793"
10,Ethfinex,REP/BTC,$35.89,"$52,151"
11,Liqui,REP/ETH,$36.61,"$43,403"
12,LATOKEN,REP/LA,$36.75,"$36,898"
13,Liqui,REP/BTC,$36.40,"$36,777"
14,Kraken,REP/USD,$35.73,"$34,905"
15,Liqui,REP/USDT,$35.67,"$33,896"
16,Ethfinex,REP/ETH,$36.04,"$15,314"
17,Bittrex,REP/ETH,$36.86,"$10,688"
18,Poloniex,REP/ETH,$36.53,"$7,097"
19,HitBTC,REP/BTC,$36.45,"$5,878"
20,Mr. Exchange,XRP/REP,$35.32,"$4,719"
21,BX Thailand,REP/THB,$33.73,"$4,051"
22,Gatehub,XRP/REP,$35.51,"$3,799"
23,Paradex,REP/DAI,$35.15,"$2,803"
24,HitBTC,REP/ETH,$36.67,"$2,000"
25,Cryptopia,REP/BTC,$35.08,"$1,896"
26,Paradex,REP/WETH,$35.89,"$1,390"
27,LiteBit.eu,REP/EUR,$36.27,"$1,122"
28,Mr. Exchange,REP/BTC,$31.63,$789
29,Upbit,REP/ETH,$36.73,$696
30,Mr. Exchange,REP/USD,$37.38,$595
31,Livecoin,REP/BTC,$39.84,$548
32,IDEX,REP/ETH,$36.62,$300
33,Abucoins,REP/BTC,$36.11,$281 
34,Mr. Exchange,REP/JPY,$35.40,$199
35,Livecoin,REP/USD,$39.86,$113
36,Livecoin,REP/ETH,$33.45,$54
37,Lykke Exchange,REP/ETH,$17.16,$34
38,Gate.io,REP/ETH,$29.75,$29
39,Mr. Exchange,REP/ETH,$38.21,$12
40,Gatecoin,REP/BTC,$9.97,$10
41,Qryptos,REP/BTC,$53.80,$0
42,Lykke Exchange,REP/BTC,$3.35,$0
43,Mercatox,REP/BTC,$19.89,$0
44,BigONE,REP/BTC,$36.46,$0
45,Radar Relay,REP/WETH, $35.49,$0
46,Cobinhood,REP/ETH,$35.84,$407
47,Cobinhood,REP/BTC,$33.54,$238
