,market,pair,trade_price,trade_volume
0,Bancor Network,BNT/ETH,$3.18,"$3,682,320"
1,Bancor Network,EOS/BNT,$3.18,"$948,212"
2,HitBTC,BNT/BTC,$3.16,"$813,821"
3,Bancor Network,VEE/BNT,$3.14,"$616,788"
4,Binance,BNT/BTC,$3.17,"$605,617"
5,HitBTC,BNT/USDT,$3.25,"$444,844"
6,Bancor Network,STORM/BNT,$3.17,"$439,920"
7,Binance,BNT/ETH,$3.17,"$430,626"
8,Bancor Network,KIN/BNT,$3.23,"$173,471"
9,Bancor Network,SRN/BNT,$3.24,"$138,896"
10,Bancor Network,SENSE/BNT,$3.18,"$111,690"
11,Bancor Network,DAI/BNT,$3.15,"$93,415"
12,Bittrex,BNT/BTC,$3.17,"$72,641"
13,Bancor Network,SHP/BNT,$3.20,"$70,674"
14,Bancor Network,REQ/BNT,$3.15,"$60,873"
15,OKEx,BNT/BTC,$3.12,"$48,163"
16,Bancor Network,BMC/BNT,$3.17,"$47,001"
17,Liqui,BNT/BTC,$3.17,"$42,544"
18,Bancor Network,OMG/BNT,$3.19,"$41,717"
19,Liqui,BNT/ETH,$3.17,"$40,092"
20,Bancor Network,DRGN/BNT,$3.29," $37,967"
21,Liqui,BNT/USDT,$3.11,"$35,791"
22,Bancor Network,BAX/BNT,$3.02,"$32,879"
23,Bancor Network,ENJ/BNT,$3.21,"$31,250"
24,Bancor Network,AION/BNT,$3.16,"$25,913"
25,Bancor Network,TRX/BNT,$3.20,"$25,461"
26,Bancor Network,GTO/BNT,$3.16,"$24,176"
27,OKEx,BNT/USDT,$3.07,"$23,907"
28,LATOKEN,BNT/LA,$3.19,"$20,116"
29,Bancor Network,STX/BNT,$3.15,"$19,973"
30,Bancor Network,ELF/BNT,$3.22,"$18,522"
31,Bancor Network,BNB/BNT,$3.19,"$18,237"
32,Upbit,BNT/BTC,$3.18," $17,813"
33,Bancor Network,RLC/BNT,$3.17,"$15,286"
34,Bancor Network,INSTAR/BNT,$3.25,"$13,983"
35,Bancor Network,SNT/BNT,$3.25,"$8,436"
36,Bancor Network,SWM/BNT,$3.23,"$8,018"
37,Bancor Network,TKN/BNT,$3.09,"$6,770"
38,Bittrex,BNT/ETH,$3.20,"$6,756"
39,Bancor Network,TBX/BNT,$3.20,"$6,356"
40,Bancor Network,ONG/BNT,$3.29,"$6,160"
41,Bancor Network,TAAS/BNT,$3.03,"$5,796"
42,Bancor Network,STAC/BNT,$3.13,"$5,081"
43,Bancor Network,VIB/BNT,$3.18,"$4,436"
44,AEX,BNT/BTC,$3.10,"$4,371"
45,Bancor Network,WAND/BNT,$3.01,"$4,304"
46,Bancor Network,MANA/BNT,$3.14,"$3,729"
47,Bancor Network,WAX/BNT,$3.13,"$3,452"
48,Bancor Network,POWR/BNT,$3.20,"$3,034"
49,Bancor Network,AIX/BNT,$3.27,"$2,948"
50,HitBTC,BNT/ETH,$3.24,"$2,463"
51,Bancor Network,CAT/BNT,$3.09,"$1,789"
52,COSS,BNT/BTC,$3.18,"$1,737"
53,Bancor Network,ESZ/BNT,$3.17,"$1,717"
54,Bancor Network,WINGS/BNT,$3.17,"$1,701"
55,COSS,BNT/ETH,$3.22,"$1,332"
56,Bancor Network,MNTP/BNT,$3.87," $1,323"
57,Bancor Network,TIO/BNT,$3.09,"$1,303"
58,Bancor Network,DRT/BNT,$3.05,"$1,077"
59,Upbit,BNT/ETH,$3.12,$645
60,Bancor Network,EDG/BNT,$3.23,$583
61,Bancor Network,TRST/BNT,$3.30,$580
62,Bancor Network,GNO/BNT,$3.09,$524
63,Bancor Network,ATS/BNT,$3.35,$458
64,Bancor Network,IND/BNT,$3.17,$190
65,OKEx,BNT/ETH,$3.20,$149
66,Bancor Network,WISH/BNT,$2.58,$134
67,Gate.io,BNT/ETH,$3.78,$120
68,Livecoin,BNT/BTC,$2.89, $102
69,Livecoin,BNT/USD,$3.20,$53
70,Livecoin,BNT/ETH,$2.98,$2
71,Lykke Exchange,BNT/BTC,$4.78,$0
72,Lykke Exchange,BNT/ETH,$2.03,$0
73,Tidex,BNT/BTC,$3.47,$0
74,Tidex,BNT/WAVES,$2.55,$0
75,Bancor Network,LDC/BNT,$2.10,$0
