,market,pair,trade_price,trade_volume
0,Bitfinex,BTC/USD,$9045.10,"$396,461,000"
1,Binance,BTC/USDT,$9053.43,"$359,410,000"
2,OKEx,BTC/USDT,$9053.43,"$322,873,000"
3,Huobi,BTC/USDT,$9076.46,"$206,134,000"
4,Binance,ICX/BTC,$9095.12,"$196,505,000"
5,bitFlyer,BTC/JPY,$9105.26,"$187,993,000"
6,Bithumb,BTC/KRW,$9393.66,"$160,602,000"
7,Upbit,BTC/KRW,$9406.80,"$152,822,000"
8,GDAX,BTC/USD,$9032.10,"$150,001,000"
9,Bitstamp,BTC/USD,$9045.15,"$110,932,000"
10,Kraken,BTC/USD,$9047.50,"$102,986,000"
11,Kraken,BTC/EUR,$9042.36,"$91,969,100"
12,OKEx,ETH/BTC,$9094.57,"$87,261,500"
13,BTCBOX,BTC/JPY,$9088.60,"$81,686,600"
14,Binance,ETH/BTC,$9063.11,"$80,632,500"
15,BTCC,BTC/USD,$8900.00,"$79,210,000"
16,Binance,TRX/BTC,$9119.63,"$65,847,800"
17,OKEx,LTC/BTC,$9057.37,"$62,418,600"
18,Gemini,BTC/USD,$9050.00," $60,497,600"
19,OKEx,BCH/BTC,$9040.18,"$56,839,400"
20,Lbank,VEN/BTC,$8958.14,"$55,196,600"
21,Bit-Z,ETH/BTC,$9099.28,"$54,731,900"
22,Binance,EOS/BTC,$9069.25,"$52,734,200"
23,Lbank,QTUM/BTC,$9174.27,"$52,500,700"
24,Binance,BNB/BTC,$9074.27,"$50,617,900"
25,OKEx,ETC/BTC,$9063.63,"$49,680,600"
26,HitBTC,BTC/USDT,$9265.78,"$48,654,800"
27,Binance,QTUM/BTC,$9190.83,"$41,973,600"
28,Binance,XRP/BTC,$9085.13,"$38,665,700"
29,Lbank,BCC/BTC,$9085.71,"$38,264,300"
30,Bit-Z,LTC/BTC,$9057.30,"$38,214,300"
31,itBit,BTC/USD,$9063.71,"$38,200,700"
32,Binance,ADA/BTC,$9314.69,"$35,813,300"
33,Binance,STORM/BTC,$9091.41,"$35,162,200"
34,Bittrex,BTC/USDT,$9053.43,"$34,367,300"
35,Binance,NEO/BTC,$9088.10,"$32,053,100"
36,Binance,NANO/BTC,$9059.40,"$29,590,700"
37,Poloniex,BTC/USDT,$9068.81,"$27,195,000"
38,GDAX,BTC/EUR,$9055.08,"$26,394,000"
39,Coinone,BTC/KRW,$9402.11,"$23,797,900"
40,Huobi,OCN/BTC,$9032.98,"$23,419,300"
41,HitBTC,BCH/BTC,$9067.22,"$21,786,800"
42,Binance,NCASH/BTC,$9098.40,"$21,137,000"
43,Binance,XLM/BTC,$9095.57,"$20,913,300"
