,market,pair,trade_price,trade_volume
0,BitShares Asset Exchange,BITCNY/BTS,$0.164747,"$2,617,750"
1,ZB.COM,BTS/USDT,$0.165077 ,"$2,285,870"
2,Binance,BTS/BTC,$0.165438,"$1,066,510"
3,AEX,BTS/BITCNY,$0.182070,"$931,458"
4,ZB.COM,BTS/BTC,$0.164715,"$717,914"
5,Poloniex,BTS/BTC,$0.141391,"$631,786"
6,Binance,BTS/ETH,$0.165357,"$405,383"
7,BitShares Asset Exchange,BITUSD/BTS,$0.164606,"$267,267"
8,Lbank,BTS/ETH,$0.164699,"$252,446"
9,Gate.io,BTS/USDT,$0.164376,"$149,551"
10,Livecoin,BTS/BTC,$0.165076,"$86,824"
11,Binance,BTS/BNB,$0.166031,"$62,255"
12,Lbank,BTS/BTC,$0.165890,"$59,967"
13,AEX,BTS/BTC,$0.160014,"$50,887"
14,OpenLedger DEX,STEEM/BTS,$0.164458,"$47,826"
15,OpenLedger DEX,EOS/BTS,$0.168847,"$45,005"
16,OpenLedger DEX,BTC/BTS,$0.164996,"$39,349"
17,AEX,BTS/USDT,$0.163076,"$34,247"
18,OpenLedger DEX,ETH/BTS,$0.164275,"$18,188 "
19,Gate.io,BTS/BTC,$0.159923,"$17,933"
20,OpenLedger DEX,YOYOW/BTS,$0.166848,"$11,836"
21,Bitcoin Indonesia,BTS/BTC,$0.161731,"$10,827"
22,CryptoBridge,BTC/BTS,$0.171560,"$10,171"
23,Vebitcoin,BTS/TRY,$0.176490,"$7,996"
24,CryptoBridge,BCO/BTS,$0.108506,"$5,052"
25,OpenLedger DEX,LTC/BTS,$0.157688,"$3,813"
26,RuDEX,KRM/BTS,$0.151107,"$3,811"
27,BitShares Asset Exchange,BITEUR/BTS,$0.164747,"$2,906"
28,Lbank,YOYOW/BTS,$0.169908,"$2,765"
29,OpenLedger DEX,ZEPH/BTS,$0.166681,"$2,754"
30,OpenLedger DEX,BTWTY/BTS,$0.164747,"$2,752"
31,OpenLedger DEX,LISK/BTS,$0.149454,"$1,945"
32,RuDEX,PPY/BTS,$0.164725,"$1,541"
33,BitShares Asset Exchange,PPY/BTS,$0.164725,"$1,541"
34,CoinEgg,BTS/BTC,$0.162728,"$1,517"
35,EXX,BTS/ETH,$0.162479,"$1,186"
36,OpenLedger DEX,CVCOIN/BTS,$0.163928,"$1,013"
37,OpenLedger DEX,MUSE/BTS,$0.164744,$920
38,BigONE,BTS/BTC,$0.162726,$729
39,OpenLedger DEX,FUNC/BTS,$0.163471,$515
40,OpenLedger DEX,OBITS/BTS,$0.165395,$384
41,OpenLedger DEX,HEAT/BTS,$0.142524,$228
42,OpenLedger DEX,DASH/BTS,$0.159538,$227
43,OpenLedger DEX,SBD/BTS,$0.174885,$184
44,OpenLedger DEX,DOGE/BTS,$0.159993,$156
45,BitShares Asset Exchange,BITGOLD/BTS,$0.166794,$136
46,BitShares Asset Exchange,BITBTC/BTS,$0.166190,$103
47,OpenLedger DEX,ETP/BTS,$0.112187,$61
48,RuDEX,STEEM/BTS,$0.157034,$61
49,OpenLedger DEX,HERO/BTS,$0.160458,$56
50,RuDEX,GOLOS/BTS,$0.176126,$48
51,OpenLedger DEX,SMOKE/BTS,$0.164747,$47
52,BitShares Asset Exchange,BITSILVER/BTS,$0.155297,$28
53,OpenLedger DEX,GRC/BTS,$0.104502,$16
54,OpenLedger DEX,KRM/BTS,$0.145435,$14
55,YoBit,BTS/BTC,$0.513128,$13
56,OpenLedger DEX,MAID/BTS,$0.140013,$6
57,OpenLedger DEX,INCNT/BTS,$0.170393,$5
58,OpenLedger DEX,CLOAK/BTS,$0.106053,$4
59,OpenLedger DEX,OMG/BTS,$0.151919,$4
60,OpenLedger DEX,ICOO/BTS,$0.164746,$3
61,OpenLedger DEX,USDT/BTS,$0.174968,$2
62,OpenLedger DEX,WAVES/BTS,$0.158823,$0
63,OpenLedger DEX,BLOCKPAY/BTS,$0.164747,$0
64,OpenLedger DEX,ZENGOLD/BTS,$0.074553,$0
65,Tidex,BTS/BTC,$0.497218,$0
66,Tidex,BTS/WAVES,$0.152890,$0
67,CryptoBridge,MUE/BTS,$0.206706,$0
