,market,pair,trade_price,trade_volume
0,Huobi,BTM/BTC,$0.365771,"$2,420,490"
1,OKEx,BTM/USDT,$0.366370,"$2,406,080"
2,Huobi,BTM/ETH,$0.365670,"$2,369,830"
3,CoinEgg,BTM/BTC,$0.361342,"$1,782,870"
4,OKEx,BTM/BTC,$0.365319,"$1,723,960"
5,Gate.io,BTM/USDT,$0.364970,"$1,500,340"
6,Bibox,BTM/BTC,$0.359262,"$613,327"
7,Bibox,BTM/ETH,$0.366373,"$547,083"
8,OKEx,BTM/ETH,$0.364960,"$291,549"
9,EXX,BTM/BTC,$0.369026,"$263,944"
10,Gate.io,BTM/ETH,$0.364434,"$228,743"
11,RightBTC,BTM/BTC,$0.379784,"$188,040"
12,Gate.io,BTM/BTC,$0.364325,"$26,468"
13,IDAX,BTM/BTC,$0.370653,"$19,866"
14,Kucoin,BTM/BTC,$0.364234,"$5,373"
15,Kucoin,BTM/ETH,$0.353278,"$5,263"
16,CoinEx,BTM/BCH,$0.366510,"$4,762"
17,CoinEx,BTM/BTC,$0.363150,"$4,709"
18,EXX,BTM/ETH,$0.355280,"$2,870"
19,Cryptopia,BTM/BTC,$0.361613,"$2,249"
20,HitBTC,BTM/BTC,$0.313699,"$2,097"
21,HitBTC,BTM/USDT,$0.330354,"$1,134"
22,Allcoin,BTM/BTC,$0.334853,"$1,000"
23,RightBTC,BTM/ETH,$0.346332,$682
24,HitBTC,BTM/ETH,$0.328963,$348
25,OEX,BTM/CNY,$0.379606,$285
26,Allcoin,BTM/ETH,$0.287657,$0
27,BigONE,BTM/BTC,$0.325723,$0
