,market,pair,trade_price,trade_volume
0,Upbit,ADA/KRW,$0.222519,"$174,999,000"
1,Binance,ADA/BTC,$0.214739,"$35,813,300"
2,Bittrex,ADA/BTC,$0.214195,"$16,137,300"
3,Upbit,ADA/BTC,$0.213743,"$12,264,200"
4,Binance,ADA/ETH,$0.214949,"$7,707,160"
5,Bittrex,ADA/USDT,$0.215082,"$4,470,190"
6,Upbit,ADA/USDT,$0.213928,"$1,354,320"
7,Bittrex,ADA/ETH,$0.213762,"$821,156"
8,Gate.io,ADA/USDT,$0.230387,"$583,936"
9,HitBTC,ADA/BTC,$0.211208,"$407,358"
10,CoinFalcon,ADA/BTC,$0.214195,"$205,630"
11,Vebitcoin,ADA/TRY,$0.242994,"$129,018"
12,Coinnest,ADA/KRW,$0.197168,"$100,782"
13,CoinFalcon,ADA/ETH,$0.210071,"$81,265"
14,HitBTC,ADA/USDT,$0.222084,"$48,174"
15,HitBTC,ADA/ETH,$0.215350,"$46,933"
16,Gate.io,ADA/BTC,$0.235199,"$44,848"
17,Mr. Exchange,XRP/ADA,$0.196162,"$15,536"
18,Abucoins,ADA/BTC,$0.216368,"$7,873"
19,Mr. Exchange,ETH/ADA,$0.195354,"$5,012"
20,Mr. Exchange,BTC/ADA,$0.194147,"$2,160"
