,market,pair,trade_price,trade_volume
0,Binance,LINK/BTC,$0.445145,"$9,932,740"
1,Huobi,LINK/BTC,$0.445823," $1,247,120"
2,Huobi,LINK/ETH,$0.445983,"$1,163,010"
3,Binance,LINK/ETH,$0.444592,"$872,934"
4,Vebitcoin,LINK/TRY,$0.468083,"$33,036"
5,Mercatox,LINK/ETH,$0.398177,"$13,705"
6,Mercatox,LINK/BTC,$0.403017,"$11,378"
7,Token Store,LINK/ETH,$0.457116,"$5,865"
8,Gate.io,LINK/USDT,$0.450309,"$3,875"
9,OKEx,LINK/USDT,$0.430100,"$3,194"
10,Gate.io,LINK/ETH,$0.487438,"$1,857"
11,OKEx,LINK/BTC,$0.405458,"$1,591"
12,OKEx,LINK/ETH,$0.453683,$648
13,COSS,LINK/ETH,$0.446246, $595
14,ForkDelta,LINK/ETH,$0.451967,$397
15,COSS,LINK/BTC,$0.433935,$395
16,IDEX,LINK/ETH,$0.686526,$307
17,BigONE,LINK/BTC,$0.497308,$0
