,market,pair,trade_price,trade_volume
0,Huobi,DASH/USDT,$437.22,"$36,727,900"
1,HitBTC,DASH/BTC,$436.55,"$18,326,500"
2,Binance,DASH/BTC,$437.10,"$7,877,990"
3,Bit-Z,DASH/BTC,$436.09,"$7,106,160"
4,Huobi,DASH/BTC,$436.45,"$4,905,820"
5,YoBit,DASH/BTC,$439.33,"$3,475,380"
6,Bitfinex,DASH/USD,$437.22,"$3,429,550"
7,WEX,DSH/USD,$438.02,"$2,837,190"
8,WEX,DSH/BTC,$438.00,"$2,667,100"
9,HitBTC,DASH/USDT,$448.06,"$2,266,620"
10,WEX,DSH/RUR,$439.95,"$1,651,610"
11,Bittrex,DASH/BTC,$435.94,"$1,533,200"
12,Bithumb,DASH/KRW,$453.49,"$1,508,540"
13,WEX,DSH/LTC, $437.89,"$1,456,410"
14,WEX,DSH/EUR,$441.04,"$1,453,100"
15,Bitfinex,DASH/BTC,$435.03,"$1,422,510"
16,WEX,DSH/ETH,$439.38,"$1,396,270"
17,OKEx,DASH/USDT,$437.95,"$1,363,380"
18,Livecoin,DASH/BTC,$436.26,"$1,222,540"
19,Poloniex,DASH/BTC,$435.84,"$1,000,340"
20,Trade By Trade,DASH/USDT,$432.20,"$986,432"
21,Kraken,DASH/BTC,$436.92,"$910,864"
22,Kraken,DASH/USD,$438.69,"$896,630"
23,Exmo,DASH/BTC,$435.48,"$709,355"
24,Exmo,DASH/USD,$444.67,"$662,106"
25,WEX,DSH/ZEC,$440.65,"$601,736"
26,Kraken,DASH/EUR,$434.34,"$590,206"
27,xBTCe,DASH/BTC,$427.52,"$570,542"
28,xBTCe,DASH/USD,$434.39,"$451,527"
29,Binance,DASH/ETH,$437.62,"$416,566"
30,Upbit,DASH/BTC,$434.17,"$340,072"
31,Bittrex,DASH/USDT,$438.20,"$321,111"
32,Poloniex,DASH/USDT,$439.75,"$319,733"
33,xBTCe,DASH/CNH,$405.72,"$301,942"
34,Upbit,DASH/KRW,$453.49,"$298,673"
35,Coinroom,DASH/PLN,$415.73," $238,054"
36,CoinEx,DASH/BTC,$436.73,"$237,012"
37,Exmo,DASH/RUB,$420.68,"$164,634"
38,CoinEx,DASH/BCH,$436.99,"$162,641"
39,C2CX,DASH/USDT,$437.20,"$148,410"
40,C2CX,DASH/BTC,$433.94,"$146,582"
41,OKEx,DASH/BTC,$440.53,"$130,077"
42,Exrates,DASH/BTC,$442.65,"$109,519"
43,HitBTC,DASH/ETH,$436.58,"$104,139"
44,OKEx,DASH/ETH,$434.95,"$95,941"
