,market,pair,trade_price,trade_volume
0,Coinrail,DENT/BTC,$0.011165,"$441,141"
1,Kucoin,DENT/BTC,$0.011210,"$353,649"
2,Kucoin,DENT/ETH,$0.011156,"$123,208"
3,Coinrail,DENT/KRW,$0.011736,"$91,821"
4,OKEx,DENT/BTC,$0.011210,"$35,660"
5,HitBTC,DENT/ETH,$0.010298,"$21,837"
6,Vebitcoin,DENT/TRY,$0.012789,"$12,181"
7,Kucoin,DENT/NEO,$0.010759,"$3,924"
8,ForkDelta,DENT/ETH,$0.010876,"$3,312"
9,OKEx,DENT/USDT,$0.010705,"$2,827"
10,OKEx,DENT/ETH,$0.010801,"$2,657"
11,Kucoin,DENT/BCH,$0.011934,"$1,268"
12,Qryptos,DENT/ETH,$0.010721,$406
13,Qryptos,DENT/BTC,$0.010668,$116
14,IDEX,DENT/ETH,$0.012014,$73
15,Qryptos,DENT/QASH,$0.010674,$0
16,Fatbtc,DENT/CNY,$0.024796,$0
