,market,pair,trade_price,trade_volume
0,Bittrex,DGB/BTC,$0.024951,"$1,054,120"
1,Poloniex,DGB/BTC,$0.024771,"$533,426"
2,Upbit,DGB/BTC,$0.024771,"$117,608"
3,Kucoin,DGB/BTC,$0.024771,"$66,552"
4,OKEx,DGB/BTC,$0.024590,"$61,145"
5,Cryptopia,DGB/BTC,$0.024680,"$53,491"
6,Vebitcoin,DGB/TRY,$0.025578,"$41,443"
7,LiteBit.eu,DGB/EUR,$0.025019,"$30,305"
8,OKEx,DGB/USDT,$0.023111,"$30,027"
9,YoBit,DGB/BTC,$0.024499,"$18,000"
10,Bittrex,DGB/ETH,$0.024887,"$17,157"
11,HitBTC,DGB/BTC,$0.024409," $11,201"
12,Bit-Z,DGB/BTC,$0.024590,"$10,851"
13,Livecoin,DGB/BTC,$0.024499,"$9,896"
14,Kucoin,DGB/ETH,$0.025116,"$8,178"
15,Upbit,DGB/ETH,$0.024601,"$6,519"
16,Trade By Trade,DGB/BTC,$0.024771,"$4,850"
17,CoinExchange,DGB/BTC,$0.024680,"$4,765"
18,Trade By Trade,DGB/USDT,$0.024627,"$4,517"
19,OKEx,DGB/ETH,$0.024383,"$3,823"
20,HitBTC,DGB/USDT,$0.025612,"$3,584"
21,HitBTC,DGB/ETH,$0.024601,"$2,569"
22,CryptoBridge,DGB/BTC,$0.022510,"$1,922"
23,Bittylicious,DGB/GBP,$0.026582,"$1,595"
24,Trade Satoshi,DGB/BTC,$0.024590,$807
25,Trade Satoshi,DGB/DOGE,$0.037135,$32
26,cfinex,DGB/BTC,$0.010487,$19
27,Cryptohub,DGB/BTC,$0.023595,$12
28,BarterDEX,DGB/KMD,$0.024892,$10
29,Trade Satoshi,DGB/USDT,$0.037017,$2
30,Coinhouse,DGB/BTC,$0.022601,$1
31,Trade Satoshi,DGB/LTC,$0.022896,$0
32,Bittylicious,DGB/EUR,$0.034313,$0
