,market,pair,trade_price,trade_volume
0,Binance,DGD/BTC,$379.64,"$20,675,600"
1,Binance,DGD/ETH,$378.79,"$4,657,020"
2,Huobi,DGD/BTC,$378.29,"$3,892,820"
3,Huobi,DGD/ETH,$378.98,"$3,679,930"
4,OKEx,DGD/USDT,$340.97,"$139,955 "
5,OKEx,DGD/BTC,$343.53,"$133,568"
6,HitBTC,DGD/BTC,$381.23,"$62,085"
7,BigONE,DGD/BTC,$378.95,"$51,782"
8,Liqui,DGD/BTC,$381.90,"$48,068"
9,Gate.io,DGD/USDT,$379.22,"$47,738"
10,Liqui,DGD/ETH,$380.66,"$44,516"
11,Liqui,DGD/USDT,$371.48,"$37,957"
12,OKEx,DGD/ETH,$353.51,"$8,401"
13,Livecoin,DGD/BTC,$382.40,"$3,002"
14,Gate.io,DGD/ETH,$373.60,"$2,017"
15,IDEX,DGD/ETH,$346.13,$577
16,Livecoin,DGD/ETH,$509.18,$203
17,Livecoin,DGD/USD,$355.00,$184
18,OKEx,DGD/BCH,$367.67,$13
19,Cobinhood,DGD/BTC,$413.05,$273
20,Cobinhood,DGD/ETH,$411.79,$68
