,market,pair,trade_price,trade_volume
0,Bit-Z,DOGE/BTC,$0.003797,"$932,931"
1,Gate.io,DOGE/USDT,$0.003730,"$871,816"
2,BtcTrade.im,DOGE/BTC,$0.003616,"$656,386"
3,Bittrex,DOGE/BTC,$0.003707,"$649,641"
4,Poloniex,DOGE/BTC,$0.003616,"$588,555"
5,Koineks,DOGE/TRY,$0.003671,"$378,258"
6,HitBTC,DOGE/USDT,$0.003765,"$330,672"
7,CoinExchange,DOGE/BTC,$0.003707,"$259,896"
8,Upbit,DOGE/BTC,$0.003707,"$207,881"
9,YoBit,DOGE/BTC,$0.003707,"$181,838"
10,HitBTC,DOGE/BTC,$0.003670,"$156,862"
11,Cryptopia,DOGE/BTC,$0.003707,"$111,112"
12,Kraken,DOGE/BTC,$0.003616,"$94,885"
13,CoinExchange,XP/DOGE,$0.003639,"$92,141"
14,BCEX,DOGE/BTC,$0.003707,"$79,622"
15,Bitcoin Indonesia,DOGE/BTC,$0.003616,"$77,458"
16,Exmo,DOGE/BTC,$0.003707," $74,830"
17,Fatbtc,DOGE/CNY,$0.003448,"$65,037"
18,C-CEX,DOGE/BTC,$0.003707,"$62,691"
19,Coinsquare,DOGE/BTC,$0.003616,"$60,340"
20,Gate.io,DOGE/BTC,$0.003707,"$53,374"
21,YoBit,DOGE/USD,$0.003766,"$49,657"
22,Exrates,DOGE/USD,$0.003664,"$46,966"
23,CoinExchange,TIPS/DOGE, $0.003801,"$43,146"
24,Livecoin,DOGE/USD,$0.003798,"$38,627"
25,CoinExchange,PCN/DOGE,$0.003736,"$35,100"
26,Exrates,DOGE/BTC,$0.003490,"$34,766"
27,Bitbns,DOGE/INR,$0.003842,"$30,102"
28,Livecoin,DOGE/BTC,$0.003616,"$29,112 "
29,LiteBit.eu,DOGE/EUR,$0.003674,"$25,717"
30,AEX,DOGE/BTC,$0.003707,"$23,585"
31,Trade Satoshi,DOGE/BTC,$0.003707,"$22,609"
32,CoinExchange,SHND/DOGE,$0.003751,"$20,316"
33,BX Thailand,DOGE/BTC,$0.003797,"$18,087"
34,SouthXchange,DOGE/BTC,$0.003707,"$17,908"
35,Stocks.Exchange,DOGE/BTC,$0.003707,"$14,553"
36,HitBTC,DOGE/ETH,$0.003661,"$13,448"
37,CoinExchange,SPRTS/DOGE,$0.003715,"$13,403"
38,BTC Trade UA,DOGE/UAH,$0.003617,"$12,583"
39,CoinEx,DOGE/BCH,$0.003678,"$10,993"
40,CoinEx,DOGE/BTC,$0.003616,"$9,941"
41,Cryptopia,DOGE/USDT,$0.003699,"$7,015"
42,CoinExchange,DIME/DOGE,$0.004648 ,"$6,455"
43,CoinExchange,DOGE/LTC,$0.003819,"$6,212"
44,OpenLedger DEX,DOGE/BITCNY,$0.003818,"$6,128"
45,Bleutrade,RDD/DOGE,$0.003776,"$5,404"
46,CoinExchange,LTC/DOGE,$0.003787,"$5,256"
47,Mercatox,DOGE/BTC,$0.003616,"$5,197 "
48,CoinExchange,DOGE/ETC,$0.003742,"$5,108"
49,Tidex,DOGE/BTC,$0.003707,"$4,825"
50,Bleutrade,DOGE/BTC,$0.003707,"$4,667"
51,CoinExchange,MOON/DOGE,$0.004140,"$4,309"
52,Cryptohub,DOGE/BTC,$0.003707,"$3,518"
53,CoinExchange,1337/DOGE,$0.004036,"$2,803"
54,CoinEgg,DOGE/BTC,$0.003767,"$2,507"
55,Bleutrade,HTML/DOGE,$0.003932,"$2,143"
56,Bits Blockchain,DOGE/BTC,$0.003616,"$1,613"
57,Tripe Dice Exchange,DOGE/BTC,$0.003616,"$1,578"
58,Mercatox,XRB/DOGE,$0.003589,"$1,333"
59,Trade Satoshi,XP/DOGE,$0.003971,"$1,282"
60,Trade Satoshi,$PAC/DOGE,$0.003749,"$1,281"
61,CoinExchange,SMART/DOGE,$0.003612,"$1,214"
62,CoinExchange,GLT/DOGE,$0.003484,"$1,202"
63,Trade Satoshi,BTCZ/DOGE,$0.003967,"$1,202"
64,Trade Satoshi,BTCP/DOGE,$0.003664,"$1,050"
65,Bleutrade,MOON/DOGE,$0.004471,$911
66,CryptoBridge,DOGE/BTC,$0.004882,$848 
67,Trade Satoshi,NYC/DOGE,$0.003615,$802
68,C-Patex,DOGE/BTC,$0.003616,$776
69,CoinExchange,XSH/DOGE,$0.003420,$732
70,CoinExchange,ZEIT/DOGE,$0.003623,$728
71,Trade Satoshi,DOGE/LTC,$0.003680,$723
72,Trade Satoshi,808/DOGE,$0.006104,$667
73,Trade Satoshi,HTML/DOGE,$0.003106,$661
74,Trade Satoshi,SHND/DOGE,$0.003719,$579
75,CoinExchange,BITB/DOGE,$0.003502,$558
76,BitFlip,DOGE/RUB,$0.003729,$524
77,Tidex,DOGE/ETH,$0.003627,$505
78,Bit-Z,DOGE/ETH,$0.003970,$489
79,CoinFalcon,DOGE/BTC,$0.003707,$478
80,Trade Satoshi,LTC/DOGE,$0.003808,$463
