,market,pair,trade_price,trade_volume
0,Bithumb,EOS/KRW,$7.30,"$346,190,000"
1,Bitfinex,EOS/USD,$7.00,"$93,607,300"
2,Huobi,EOS/USDT,$7.01,"$89,945,500"
3,OKEx,EOS/USDT,$7.00,"$55,225,000"
4,Binance,EOS/BTC,$7.00,"$52,734,200"
5,Binance,EOS/ETH,$7.01,"$18,428,600"
6,Bit-Z,EOS/BTC,$7.00,"$18,357,400"
7,ZB.COM,EOS/USDT,$7.04,"$17,118,900"
8,OKEx,EOS/BTC,$7.01,"$16,240,700"
9,Bitfinex,EOS/BTC,$7.01,"$16,053,000"
10,Huobi,EOS/ETH,$6.99,"$10,901,600 "
11,Gate.io,EOS/USDT,$7.01,"$8,993,840"
12,Huobi,EOS/BTC,$6.99,"$8,725,650"
13,ZB.COM,EOS/BTC,$7.03,"$6,645,980"
14,Bitfinex,EOS/ETH,$7.00,"$5,108,240"
15,OKEx,EOS/ETH,$7.02,"$4,342,520"
16,Kraken,EOS/EUR,$6.99,"$3,905,550"
17,HitBTC,EOS/BTC,$7.02 ,"$3,536,760"
18,Kraken,EOS/USD,$6.99,"$3,509,370"
19,HitBTC,EOS/USDT,$7.15,"$2,472,340"
20,Kraken,EOS/BTC,$7.03,"$2,410,640"
21,Kraken,EOS/ETH,$7.03,"$1,988,110"
22,OEX,EOS/CNY,$6.96,"$1,120,710"
23,Bancor Network,EOS/BNT,$7.00,"$950,439"
24,BigONE,EOS/BTC,$6.98,"$749,788"
25,Bibox,EOS/USDT,$6.97,"$679,558"
26,Bibox,EOS/BTC,$7.02,"$667,839"
27,Gate.io,EOS/ETH,$6.96,"$607,496"
28,Bibox,EOS/ETH,$6.99,"$529,244"
29,Kucoin,EOS/BTC,$7.06,"$385,836"
30,BtcTrade.im,EOS/BTC,$6.52,"$371,125"
31,OTCBTC,EOS/BTC,$7.04,"$348,893"
32,Gate.io,EOS/BTC,$6.99,"$252,574"
33,HitBTC,EOS/ETH,$7.01,"$243,438"
34,BigONE,UIP/EOS,$6.98,"$238,825"
35,ForkDelta,EOS/ETH,$7.16,"$237,766"
36,OTCBTC,EOS/ETH,$6.80,"$227,753"
37,BigONE,ETH/EOS,$6.96,"$196,404"
38,Neraex,EOS/BTC,$6.98,"$184,413"
39,BigONE,HMC/EOS,$6.63," $182,792"
40,IDAX,EOS/ETH,$5.70,"$164,472"
41,Fatbtc,EOS/CNY,$6.84,"$137,835"
42,Liqui,EOS/BTC,$6.96,"$126,764"
43,Fatbtc,EOS/BTC,$6.53,"$125,949"
44,Liqui,EOS/ETH,$6.98,"$117,016"
45,OpenLedger DEX,EOS/BITUSD,$6.89,"$114,381"
46,Coinrail,EOS/BTC,$7.01 ,"$112,239"
47,BigONE,DEW/EOS,$6.99,"$112,078"
48,Rfinex,EOS/ETH,$6.94,"$111,841"
49,ChaoEX,EOS/ETH,$6.84,"$109,086"
50,Kucoin,EOS/ETH,$6.98,"$105,066"
51,AEX,EOS/USDT,$6.96,"$95,747"
52,Liqui,EOS/USDT,$6.87,"$93,395"
53,IDAX,EOS/BTC,$5.93,"$91,765"
54,OKEx,EOS/BCH,$6.94,"$78,984"
55,EXX,EOS/ETH,$6.91,"$77,712"
56,BigONE,BIG/EOS,$6.91,"$64,625"
57,BigONE,PRS/EOS,$6.98,"$61,351"
58,EXX,EOS/BTC,$6.92,"$55,079"
59,LATOKEN,EOS/ETH,$6.96,"$48,381"
60,OpenLedger DEX,EOS/BTS,$6.83,"$45,025"
61,BigONE,XIN/EOS,$6.79,"$43,733"
