,market,pair,trade_price,trade_volume
0,Bitfinex,ETH/USD,$571.61,"$107,808,000"
1,OKEx,ETH/USDT,$572.22,"$106,244,000"
2,Huobi,ETH/USDT,$574.31,"$88,568,100"
3,OKEx,ETH/BTC,$570.58,"$87,261,500"
4,Binance,ETH/BTC,$572.56,"$80,632,500"
5,Bithumb,ETH/KRW,$593.38,"$75,311,700"
6,GDAX,ETH/USD, $571.99,"$69,037,700"
7,Binance,ETH/USDT,$572.22,"$66,630,300"
8,Bit-Z,ETH/BTC,$570.28,"$54,731,900"
9,Upbit,ETH/KRW,$594.23,"$40,487,300"
10,Kraken,ETH/USD,$572.58,"$40,127,600"
11,Kraken,ETH/EUR,$570.44,"$35,817,000"
12,Binance,ICX/ETH,$576.26,"$34,221,300"
13,Binance,TRX/ETH,$575.86,"$28,010,000"
14,Huobi,TRX/ETH,$572.49,"$26,727,700"
15,Bitstamp,ETH/USD,$572.00,"$24,571,300"
16,Gemini,ETH/USD,$572.20,"$21,494,600"
17,Huobi,OCN/ETH,$572.68,"$21,013,400"
18,HitBTC,ETH/BTC,$572.48 ,"$20,370,800"
19,EXX,ETH/BTC,$568.60,"$19,823,300"
20,Huobi,HT/ETH,$573.60,"$18,934,800"
21,Binance,EOS/ETH,$573.81,"$18,428,600"
22,CoinEgg,ETH/BTC,$575.19,"$17,951,000"
23,Huobi,ETH/BTC,$572.99,"$13,375,000"
24,Bitfinex,ETH/BTC,$572.04,"$12,963,900"
25,OKEx,ETC/ETH,$572.23,"$12,792,300"
26,Poloniex,ETH/BTC,$572.47,"$11,859,300"
27,Coinone,ETH/KRW,$594.32,"$11,248,000"
28,Huobi,EOS/ETH,$575.08,"$10,901,600"
29,Huobi,ONT/ETH,$574.08,"$10,406,000"
30,Gate.io,ETH/USDT,$575.18,"$9,684,710"
31,Binance,QTUM/ETH,$581.15,"$9,558,580"
32,Bittrex,ETH/BTC,$573.87,"$9,053,120"
33,Bitstamp,ETH/EUR,$572.45,"$8,463,120"
34,Livecoin,ETH/BTC,$571.30,"$8,443,150"
