,market,pair,trade_price,trade_volume
0,Binance,FUN/BTC,$0.041676,"$1,647,680"
1,Binance,FUN/ETH,$0.041495,"$379,039"
2,Ethfinex,FUN/USD,$0.041391,"$120,804"
3,C2CX,FUN/BTC,$0.040681,"$116,873"
4,C2CX,FUN/USDT,$0.041019,"$43,082"
5,Ethfinex,FUN/BTC,$0.041314,"$39,175"
6,LATOKEN,FUN/LA,$0.040436,"$14,192"
7,OKEx,FUN/BTC,$0.041224,"$11,849"
8,Vebitcoin,FUN/TRY,$0.043483,"$9,498"
9,Gate.io,FUN/USDT,$0.041219,"$7,579"
10,Ethfinex,FUN/ETH,$0.042508,"$7,393"
11,OKEx,FUN/USDT,$0.040919,"$7,340"
12,HitBTC,FUN/BTC,$0.042489,"$5,881"
13,Gate.io,FUN/ETH,$0.042908,"$5,065"
14,HitBTC,FUN/ETH,$0.041192,"$1,705"
15,HitBTC,FUN/USDT,$0.040455,"$1,705"
16,ForkDelta,FUN/ETH,$0.042393,$832
17,OKEx,FUN/ETH,$0.041192,$473
18,Livecoin,FUN/BTC,$0.035438,$120
19,Livecoin,FUN/ETH,$0.042908,$105
20,Livecoin,FUN/USD,$0.045760,$23
21,IDEX,FUN/ETH,$0.043162,$0
22,Radar Relay,FUN/WETH,$0.040660,$0
23,Cobinhood,FUN/ETH,$0.042908,$104
24,Cobinhood,FUN/BTC,$0.030285,$0
