,market,pair,trade_price,trade_volume
0,Binance,GAS/BTC,$24.38,"$2,227,190"
1,Huobi,GAS/BTC,$24.39," $2,008,950"
2,Huobi,GAS/ETH,$24.33,"$1,855,970"
3,Poloniex,GAS/BTC,$24.23,"$169,080"
4,Bitbns,GAS/INR,$25.20,"$122,970"
5,OKEx,GAS/BTC,$24.18,"$111,246"
6,OKEx,GAS/USDT,$24.24,"$89,724"
7,Koinex,GAS/INR,$25.51,"$45,763"
8,Kucoin,GAS/NEO, $23.74,"$40,917"
9,Kucoin,GAS/BTC,$24.67,"$38,193"
10,Poloniex,GAS/ETH,$24.20,"$20,378"
11,Gate.io,GAS/USDT,$23.79,"$14,460"
12,OKEx,GAS/ETH,$24.18,"$12,293"
13,Kucoin,GAS/KCS,$23.08,"$2,060"
14,Gate.io,GAS/BTC,$25.31,"$1,232"
15,Coinnest,GAS/KRW,$19.26,$968
