,market,pair,trade_price,trade_volume
0,Huobi,GNT/BTC,$0.257559,"$1,619,150"
1,Huobi,GNT/USDT,$0.258020,"$1,617,420"
2,Huobi,GNT/ETH,$0.257707,"$1,576,350"
3,Liqui,GNT/BTC,$0.255841,"$723,699"
4,Poloniex,GNT/BTC,$0.257287,"$274,576"
5,Bittrex,GNT/BTC,$0.257468,"$242,056"
6,Upbit,GNT/BTC,$0.257468,"$107,853"
7,Ethfinex,GNT/USD,$0.254900,"$106,338"
8,Liqui,GNT/USDT,$0.252080 ,"$98,674"
9,Liqui,GNT/ETH,$0.255447,"$97,075"
10,Ethfinex,GNT/BTC,$0.254937,"$47,383"
11,Koinex,GNT/INR,$0.261237,"$39,311"
12,Ethfinex,GNT/ETH,$0.254915,"$20,176"
13,OKEx,GNT/BTC,$0.254937,"$19,672"
14,Poloniex,GNT/ETH,$0.255218,"$17,152"
15,OKEx,GNT/USDT,$0.257320,"$16,140"
16,Bittrex,GNT/ETH,$0.257718,"$10,980"
17,Gate.io,GNT/USDT,$0.262422,"$10,855"
18,Cryptopia,GNT/BTC,$0.257287,"$5,869"
19,Gate.io,GNT/ETH,$0.259166,"$3,227"
20,Upbit,GNT/ETH,$0.257718,"$2,652"
21,Livecoin,GNT/BTC,$0.275910,"$1,208"
22,OKEx,GNT/ETH,$0.261569,$709
23,Abucoins,GNT/BTC,$0.252767,$639
24,Livecoin,GNT/ETH,$0.262587,$234
25,Livecoin,GNT/USD,$0.303870,$115
26,CoinFalcon,GNT/BTC,$0.338922,$0
27,Tux Exchange,GNT/BTC,$0.307371,$0
28,Lykke Exchange,GNT/BTC,$0.262169,$0
29,Lykke Exchange,GNT/ETH,$0.240286,$0
30,Mercatox,GNT/BTC,$0.280792, $0
31,CryptoDerivatives,GNT/ETH,$1.13,$0
32,Tidex,GNT/BTC,$0.233059,$0
33,Heat Wallet,GNT/BTC,$0.677572,$0
34,CoinFalcon,GNT/ETH,$0.241127,$0
35,BigONE,GNT/BTC,$0.271210,$0
36,Cobinhood,GNT/ETH,$0.260997,$154
37,Cobinhood,GNT/BTC,$0.393254,$59
