,market,pair,trade_price,trade_volume
0,Huobi,HSR/USDT,$7.16,"$3,021,760"
1,Bit-Z,HSR/BTC,$7.10,"$3,011,180"
2,ZB.COM,HSR/USDT,$7.13,"$2,748,580"
3,Huobi,HSR/BTC,$7.14,"$2,737,150"
4,Binance,HSR/BTC,$7.11,"$2,376,200"
5,OKEx,HSR/USDT,$7.12,"$2,040,470"
6,Huobi,HSR/ETH,$7.14,"$1,860,890"
7,Coinnest,HSR/KRW,$6.51,"$1,741,330"
8,Allcoin,HSR/BTC,$6.96,"$1,365,940"
9,ZB.COM,HSR/BTC,$7.09,"$1,062,580"
10,TOPBTC,HSR/BTC,$7.76,"$849,971"
11,OKEx,HSR/BTC,$7.11 ,"$697,229"
12,Gate.io,HSR/USDT,$7.16,"$414,402"
13,Binance,HSR/ETH,$7.11,"$408,988"
14,EXX,HPY/HSR,$7.08,"$321,205"
15,EXX,HSR/BTC,$7.06,"$135,482"
16,EXX,HSR/USDT,$7.03,"$128,892"
17,Gate.io,HSR/ETH,$7.07,"$57,669"
18,OKEx,HSR/ETH,$7.07,"$53,005"
19,Vebitcoin,HSR/TRY,$7.31,"$18,871"
20,Cryptopia,HSR/BTC,$6.99,"$7,589"
21,Gate.io,HSR/BTC,$7.01,"$7,001"
22,HitBTC,HSR/BTC,$7.06,"$4,218"
23,EXX,ETH/HSR,$6.73,"$3,489"
24,ACX,HSR/AUD,$6.60,"$3,310"
25,Kucoin,HSR/BTC,$6.86,"$2,822"
26,Kucoin,HSR/ETH,$6.94,"$2,030"
27,EXX,QTUM/HSR,$5.16,"$1,913"
28,Coinlink,HSR/KRW, $5.33,$892
29,C-CEX,HSR/BTC,$6.96,$179
30,Abucoins,HSR/BTC,$7.07,$141
31,EXX,MONA/HSR,$6.96,$140
32,Trade Satoshi,HSR/BTC,$6.69,$70
33,Trade Satoshi,HSR/DOGE,$4.22,$0
34,C-CEX,HSR/USD,$8.38,$0
