,market,pair,trade_price,trade_volume
0,Binance,ICX/BTC,$3.78,"$196,514,000"
1,Binance,ICX/ETH,$3.77,"$34,263,900"
2,Huobi,ICX/BTC,$3.75,"$5,852,520"
3,OKEx,ICX/BTC,$3.82,"$4,303,100"
4,Binance,ICX/BNB,$3.78,"$2,585,500"
5,Huobi,ICX/ETH,$3.75,"$2,573,550"
6,OKEx,ICX/USDT,$3.77,"$2,078,010"
7,OKEx,ICX/ETH,$3.79,"$609,579"
8,Gate.io,ICX/USDT,$3.90,"$199,174 "
9,HitBTC,ICX/BTC,$3.24,"$152,821"
10,IDEX,ICX/ETH,$3.65,"$138,732"
11,HitBTC,ICX/ETH,$3.12,"$74,132"
12,Gate.io,ICX/ETH,$3.93,"$63,412"
13,HitBTC,ICX/USDT,$3.06,"$38,460"
14,Rfinex,ICX/ETH,$3.66,"$33,801"
15,COSS,ICX/ETH,$3.18,"$3,783"
16,COSS,ICX/BTC,$4.43,"$3,546"
