,market,pair,trade_price,trade_volume
0,Binance,IOST/BTC,$0.021245,"$17,498,000"
1,Huobi,IOST/USDT,$0.021335,"$8,190,450"
2,Huobi,IOST/BTC,$0.021299,"$3,276,020"
3,Binance,IOST/ETH,$0.021237,"$1,707,370"
4,OKEx,IOST/USDT,$0.021610,"$1,682,230"
5,Huobi,IOST/ETH,$0.021297,"$1,622,140"
6,OKEx,IOST/BTC,$0.021335,"$985,188"
7,BigONE,IOST/BTC,$0.021245,"$315,255"
8,OKEx,IOST/ETH,$0.021340," $178,162"
9,Kucoin,IOST/BTC,$0.021335,"$15,198"
10,BigONE,IOST/ETH,$0.020596,"$5,461"
11,Kucoin,IOST/ETH,$0.022198,"$4,221"
12,DDEX,IOST/ETH,$0.021511,$859
13,OTCBTC,IOST/ETH,$0.017169,$28
14,Lykke Exchange,IOST/ETH,$0.022884,$0
15,Cobinhood,IOST/ETH,$0.020138,$688
16,Cobinhood,IOST/USDT,$0.024812,$408
17,Cobinhood,IOST/BTC,$0.020160,$296
