,market,pair,trade_price,trade_volume
0,Binance,IOTA/BTC,$1.38,"$19,436,500"
1,Bitfinex,MIOTA/USD,$1.39,"$15,443,700"
2,Coinone,IOTA/KRW,$1.46,"$5,572,230"
3,Bitfinex,MIOTA/BTC,$1.39,"$5,333,560"
4,OKEx,IOTA/BTC,$1.38,"$3,146,700"
5,Binance,IOTA/ETH,$1.38,"$3,144,550"
6,OKEx,IOTA/USDT,$1.38,"$2,508,720"
7,Bitfinex,MIOTA/EUR,$1.39,"$1,110,110"
8,Bitfinex,MIOTA/ETH,$1.39,"$810,349"
9,OKEx,IOTA/ETH, $1.38,"$584,224"
10,Binance,IOTA/BNB,$1.39,"$522,435"
11,Ovis,MIOTA/TRY,$1.46,"$110,104"
12,Vebitcoin,MIOTA/TRY,$1.46,"$105,076"
13,Exrates,MIOTA/USD,$1.41,"$59,732"
14,Gate.io,IOTA/USDT,$1.43,"$36,964"
15,Exrates,MIOTA/BTC,$1.39,"$19,724"
16,HitBTC,IOTA/BTC,$1.44,"$17,279"
17,Gate.io,IOTA/BTC,$1.41,"$7,810"
18,HitBTC,IOTA/USDT,$1.63,"$6,931"
19,HitBTC,IOTA/ETH,$1.45,"$5,496"
20,CoinFalcon,IOT/BTC,$1.39,"$3,800"
21,CoinFalcon,IOT/ETH,$1.62,$16
