,market,pair,trade_price,trade_volume
0,Bancor Network,KIN/BNT,$0.000180,"$173,471"
1,ForkDelta,KIN/ETH,$0.000180,"$116,387"
2,IDEX,KIN/ETH,$0.000180,"$61,993"
3,Mercatox,KIN/ETH,$0.000177 ,"$57,183"
4,Mercatox,KIN/BTC,$0.000181,"$39,315"
5,COSS,KIN/ETH,$0.000183,"$10,098"
6,CoinFalcon,KIN/ETH,$0.000183,"$5,773"
7,YoBit,KIN/BTC,$0.000271,"$4,925"
8,COSS,KIN/BTC,$0.000271,"$4,472"
9,CoinFalcon,KIN/BTC,$0.000271,"$3,902"
10,OTCBTC,KIN/ETH,$0.000189,"$2,750"
11,Stellar Decentralized Exchange,KIN/XLM,$0.000190,"$2,707"
12,Stellarport,KIN/XLM,$0.000190,"$2,707"
13,Fatbtc,KIN/CNY,$0.000247,$0
14,DDEX,KIN/ETH,$0.000183,$0
