,market,pair,trade_price,trade_volume
0,Binance,KMD/BTC,$3.15,"$619,354"
1,Bittrex,KMD/BTC,$3.16,"$426,064"
2,Upbit,KMD/KRW,$3.27,"$338,960"
3,Upbit,KMD/BTC,$3.15,"$216,159"
4,Binance,KMD/ETH,$3.16,"$95,307"
5,CoinExchange,KMD/BTC,$3.16,"$19,774"
6,Vebitcoin,KMD/TRY,$3.31,"$16,327"
7,Cryptopia,KMD/BTC,$3.13,"$12,512"
8,BarterDEX,CHIPS/KMD,$2.19,$413
9,HitBTC,KMD/ETH,$2.86,$390
10,HitBTC,KMD/BTC,$2.71,$333
11,HitBTC,KMD/USDT,$3.25,$241
12,CoinExchange,KMD/ETH,$3.60,$228
13,BarterDEX,CRW/KMD,$3.13,$163
14,BarterDEX,BCH/KMD,$2.90,$92
15,BarterDEX,BTC/KMD,$2.86,$32
16,Cryptox,KMD/BTC,$2.96,$17
17,BarterDEX,ZEC/KMD,$3.01,$14
18,BarterDEX,DGB/KMD,$3.05,$10
19,BarterDEX,LTC/KMD,$3.19,$9
20,BarterDEX,HUSH/KMD,$3.15,$6
21,BarterDEX,ZCL/KMD,$2.65,$5
22,BarterDEX,DNR/KMD,$3.03,$1
23,BarterDEX,BTCZ/KMD,$3.55,$0
24,BarterDEX,SUPERNET/KMD,$2045.13,"$1,158"
