,market,pair,trade_price,trade_volume
0,YoBit,LSK/BTC,$13.37,"$4,440,920"
1,CoinEgg,LSK/BTC,$13.80,"$3,503,270"
2,Bit-Z,LSK/BTC,$13.52,"$3,278,620"
3,Binance,LSK/BTC,$13.54,"$2,206,540"
4,BitBay,LSK/PLN,$13.39,"$1,591,700"
5,Huobi,LSK/BTC,$13.54,"$1,569,410"
6,Huobi,LSK/ETH,$13.55,"$1,474,210"
7,Bittrex,LSK/BTC,$13.56,"$1,342,390"
8,Upbit,LSK/KRW,$14.10,"$1,044,880"
9,Livecoin,LSK/BTC,$13.56,"$955,920"
10,HitBTC,LSK/BTC,$13.50,"$834,831"
11,Poloniex,LSK/BTC,$13.52,"$632,304"
12,Binance,LSK/ETH,$13.53,"$602,547"
13,Upbit,LSK/BTC,$13.56,"$549,250"
14,ChaoEX,LSK/BTC,$13.69,"$181,312"
15,Livecoin,LSK/USD,$13.71,"$102,562"
16,Exrates,LSK/BTC,$13.62,"$69,814"
17,Poloniex,LSK/ETH,$13.57,"$50,116"
18,Exrates,LSK/USD,$13.53,"$48,362"
19,Binance,LSK/BNB,$13.45,"$39,629"
20,YoBit,LSK/USD,$13.71,"$17,825"
21,Abucoins,LSK/PLN,$13.61,"$16,725"
22,Gate.io,LSK/USDT,$13.91,"$6,110"
23,LiteBit.eu,LSK/EUR,$13.67,"$4,456"
24,Coinroom,LSK/PLN,$14.53,"$4,178"
25,BitBay,LSK/BTC,$14.00,"$4,096"
26,HitBTC,LSK/USDT, $13.72,"$3,719"
27,HitBTC,LSK/ETH,$13.73,"$3,092"
28,Gate.io,LSK/BTC,$13.66,"$2,194"
29,OpenLedger DEX,LISK/BTS,$14.92,"$1,945"
30,Abucoins,LSK/BTC,$13.57,"$1,836"
31,COSS,LSK/ETH,$14.30,"$1,803"
32,COSS,LSK/BTC,$13.65,"$1,487"
33,Abucoins,LSK/USD,$13.49,$400
34,BitBay,LSK/EUR,$13.58,$292
35,BitBay,LSK/USD,$13.66,$239
36,Abucoins,LSK/EUR,$13.50,$146
37,Coinbe,LSK/BTC,$12.12,$0
