,market,pair,trade_price,trade_volume
0,OKEx,LTC/USDT,$171.72,"$74,083,400"
1,OKEx,LTC/BTC,$171.86,"$62,418,600"
2,GDAX,LTC/USD,$171.61,"$60,750,900"
3,Bit-Z,LTC/BTC,$171.86,"$38,214,300"
4,Huobi,LTC/USDT,$172.05,"$29,620,000"
5,Bitfinex,LTC/USD,$171.60,"$24,657,000"
6,Binance,LTC/USDT,$171.76,"$19,747,700"
7,Binance,LTC/BTC,$171.84,"$19,668,600"
8,BCEX,LTC/BTC,$175.01,"$10,899,100"
9,Bitstamp,LTC/USD,$171.74,"$9,235,090"
10,CoinsBank,LTC/USD,$171.94,"$9,001,720"
11,Bithumb,LTC/KRW,$179.24,"$8,205,250"
12,EXX,LTC/BTC,$171.11,"$6,108,020"
13,GDAX,LTC/EUR,$171.56,"$4,586,360"
14,Bittrex,LTC/BTC,$171.80,"$4,538,990"
15,Bitfinex,LTC/BTC,$171.68,"$4,276,270"
16,Kraken,LTC/USD,$171.87,"$4,030,870"
17,WEX,LTC/USD,$171.50,"$3,508,690"
18,CoinsBank,LTC/EUR,$168.80,"$3,458,710"
19,WEX,LTC/BTC,$171.47,"$3,451,830"
20,Kraken,LTC/EUR,$171.64,"$3,268,520"
21,HitBTC,LTC/USDT,$176.06,"$3,048,150"
22,Poloniex,LTC/BTC,$171.82,"$2,509,780"
23,CoinsBank,LTC/GBP,$171.75,"$2,495,860"
24,Bitstamp,LTC/EUR,$171.41,"$2,359,670"
25,Livecoin,LTC/BTC,$172.04,"$2,291,520"
26,Huobi,LTC/BTC,$171.87,"$2,282,420"
27,Bittrex,LTC/USDT,$171.11,"$2,263,750"
28,BtcTrade.im,LTC/BTC,$174.41,"$2,015,290"
29,WEX,LTC/EUR,$173.13,"$1,931,100"
30,Upbit,LTC/KRW,$179.33,"$1,849,740"
31,GDAX,LTC/BTC,$171.74,"$1,831,110"
32,Binance,LTC/ETH,$171.80,"$1,812,200"
33,CoinBene,LTC/USDT,$172.07,"$1,738,190"
34,ZB.COM,LTC/USDT,$172.25,"$1,727,940"
35,WEX,LTC/RUR,$172.48,"$1,697,460"
36,YoBit,LTC/BTC,$171.83,"$1,661,550"
37,RightBTC,LTC/BTC,$172.01,"$1,546,250"
38,WEX,BCH/LTC,$172.30,"$1,525,610"
39,Poloniex,LTC/USDT,$172.28,"$1,517,340"
40,Coinone,LTC/KRW,$178.95,"$1,509,830"
41,WEX,DSH/LTC,$171.95,"$1,456,340"
42,HitBTC,LTC/BTC,$171.92,"$1,374,980"
43,WEX,ETH/LTC,$172.27,"$1,353,470"
44,xBTCe,LTC/USD,$170.64,"$1,323,650"
45,xBTCe,LTC/EUR,$175.09,"$1,287,210"
46,Trade By Trade,LTC/BTC,$180.04,"$1,115,080"
47,TOPBTC,LTC/BTC,$168.98,"$1,063,730"
48,Binance,LTC/BNB,$172.06,"$1,029,960"
49,xBTCe,LTC/BTC,$165.31 ,"$897,755"
50,Trade By Trade,LTC/USDT,$167.06,"$896,342"
51,xBTCe,LTC/CNH,$182.30,"$860,230"
52,CoinEgg,LTC/BTC,$173.60,"$859,513"
53,Upbit,LTC/BTC,$171.33,"$791,073"
54,xBTCe,LTC/RUB,$182.64,"$752,587"
55,Kraken,LTC/BTC,$171.44,"$638,492"
56,WEX,ZEC/LTC,$172.75,"$595,770"
57,C2CX,LTC/USDT,$171.06,"$558,693"
58,Gate.io,LTC/USDT,$171.99,"$556,757"
59,Bitstamp,LTC/BTC,$171.90,"$544,199"
60,BTC Markets,LTC/AUD,$174.20,"$534,225"
61,Zebpay,LTC/INR,$177.73,"$467,184"
62,QuadrigaCX,LTC/CAD,$172.91,"$448,383"
63,Exmo,LTC/USD,$175.00,"$446,494"
64,Exmo,LTC/BTC,$172.26,"$443,348"
65,ZB.COM,LTC/BTC,$172.49,"$435,733"
66,OkCoin Intl.,LTC/USD, $185.20,"$433,906"
67,Mercado Bitcoin,LTC/BRL,$175.32,"$422,934"
68,Koinim,LTC/TRY,$170.61,"$417,363"
69,Bitso,LTC/MXN,$173.15,"$407,992"
70,Livecoin,LTC/USD,$174.30,"$377,299"
71,Coinsquare,LTC/BTC,$171.52,"$370,618"
72,Kucoin,LTC/BTC,$171.23,"$349,118"
73,CoinBene,LTC/BTC,$172.84,"$319,949"
74,EXX,LTC/USDT,$170.54,"$264,515"
75,Independent Reserve,LTC/AUD,$176.88,"$251,795"
76,OTCBTC,LTC/BTC,$172.13,"$236,654"
77,Bibox,LTC/USDT,$169.49,"$234,580"
78,Coinut,LTC/BTC,$171.74,"$230,317"
79,Bibox,LTC/BTC,$172.05,"$226,762"
80,Vebitcoin,LTC/TRY,$174.21,"$223,279"
81,Cryptopia,LTC/BTC,$171.09,"$223,277"
82,Koinex,LTC/INR,$176.24,"$216,955"
83,Koineks,LTC/TRY,$170.69,"$199,333"
84,Bittrex,LTC/ETH,$173.80,"$185,148"
