,market,pair,trade_price,trade_volume
0,Upbit,LRC/BTC,$0.423720,"$7,883,770"
1,Binance,LRC/BTC,$0.422364,"$6,650,830"
2,Bittrex,LRC/BTC,$0.425347,"$6,056,050"
3,Binance,LRC/ETH,$0.422280,"$1,928,380"
4,OKEx,LRC/USDT,$0.425298,"$1,117,360"
5,OKEx,LRC/BTC,$0.418386,"$906,588"
6,Gate.io,LRC/USDT,$0.425498,"$735,182"
7,OKEx,LRC/ETH,$0.421656,"$315,619"
8,Gate.io,LRC/BTC,$0.419471,"$192,503"
9,Gate.io,LRC/ETH,$0.421645,"$78,867"
10,Bittrex,LRC/ETH,$0.394624,"$63,287"
11,Upbit,LRC/ETH,$0.417640,"$27,425"
12,HitBTC,LRC/BTC,$0.408622,"$25,442"
13,HitBTC,LRC/ETH,$0.415924,"$6,733"
14,CoinExchange,LRC/BTC,$0.456446,"$5,688"
15,YoBit,LRC/BTC,$0.406814,$362
16,CoinExchange,LRC/ETH,$0.554947,$91
17,Lykke Exchange,LRC/ETH,$0.486364,$0
18,OTCBTC,LRC/ETH,$0.308150,$0
19,IDAX,LRC/BTC,$0.677391,$0
20,IDAX,LRC/ETH,$0.430547,$0
