,market,pair,trade_price,trade_volume
0,HitBTC,XMR/BTC,$221.95,"$14,028,400"
1,Bitfinex,XMR/USD,$222.54,"$7,898,480"
2,Binance,XMR/BTC,$221.98,"$7,869,170"
3,Poloniex,XMR/BTC,$221.87,"$4,253,060"
4,Bithumb,XMR/KRW,$230.88,"$4,192,670"
5,HitBTC,XMR/USDT,$227.18,"$2,719,990"
6,Bitfinex,XMR/BTC,$222.18,"$2,465,810"
7,Kraken,XMR/USD,$222.21,"$2,190,970"
8,Poloniex,XMR/USDT,$222.90,"$1,954,710"
9,Kraken,XMR/EUR,$222.72,"$1,772,520"
10,Livecoin,XMR/BTC,$221.89,"$1,530,150"
11,Bittrex,XMR/BTC,$221.81,"$1,337,460"
12,HitBTC,XMR/ETH,$222.11,"$892,916"
13,Binance,XMR/ETH,$222.72,"$838,226"
14,Bittrex,XMR/USDT,$222.09,"$775,959"
15,Kraken,XMR/BTC,$222.54,"$684,165"
16,Coinroom,XMR/PLN,$228.69,"$340,884"
17,Upbit,XMR/BTC,$221.81,"$316,234"
18,Upbit,XMR/KRW,$233.36,"$308,894"
19,Exmo,XMR/USD,$225.31,"$292,700"
20,Exmo,XMR/BTC,$220.49,"$181,300"
21,Ovis,XMR/TRY,$231.48,"$136,691 "
22,Poloniex,ZEC/XMR,$222.68,"$124,676"
23,CoinEx,XMR/BTC,$221.74,"$118,808"
24,BTC-Alpha,XMR/BTC,$222.18,"$111,560"
25,Livecoin,XMR/USD,$220.90,"$98,639"
26,CoinEx,XMR/BCH,$222.42,"$91,914"
27,OKEx,XMR/BTC,$223.19,"$88,298"
28,Gate.io,XMR/USDT, $222.17,"$78,375"
29,Bittrex,XMR/ETH,$223.79,"$75,725"
30,OKEx,XMR/USDT,$223.88,"$63,821"
31,Exrates,XMR/BTC,$230.44,"$59,036"
32,Poloniex,LTC/XMR,$221.88,"$52,911"
33,Exrates,XMR/USD,$226.72,"$44,306"
34,Cryptopia,XMR/BTC,$220.59,"$38,745"
35,Gate.io,XMR/BTC,$221.29,"$24,417"
36,Upbit,XMR/ETH,$220.54,"$23,041"
37,Vebitcoin,XMR/TRY,$237.42,"$22,530"
38,Exmo,XMR/EUR,$225.31,"$21,274"
39,Bisq,XMR/BTC,$220.54,"$19,932"
40,Bitbns,XMR/INR,$231.36,"$13,612"
41,Upbit,XMR/USDT,$222.09,"$10,983"
42,Qryptos,XMR/BTC,$224.63,"$9,695"
43,Poloniex,DASH/XMR,$223.32,"$8,390"
44,LiteBit.eu,XMR/EUR,$223.51,"$7,924"
45,Cryptopia,XMR/USDT,$220.61,"$6,486"
46,Poloniex,MAID/XMR,$217.95,"$5,779"
47,OKEx,XMR/ETH,$221.71,"$3,884"
48,Poloniex,NXT/XMR,$223.73,"$2,606"
49,Bitlish,XMR/EUR,$248.19,"$2,357"
50,Bitlish,XMR/BTC,$225.10," $2,134"
51,Braziliex,XMR/BRL,$235.19,"$1,994"
52,Poloniex,BCN/XMR,$225.41,"$1,233"
53,Cryptox,XMR/BTC,$223.72,"$1,081"
54,BTC Trade UA,XMR/UAH,$244.95,$905
55,Poloniex,BLK/XMR,$224.43,$714
56,Poloniex,BTCD/XMR,$237.57,$525
57,SouthXchange,XMR/BTC,$230.80,$513
58,Abucoins,XMR/BTC,$223.18,$277
59,TradeOgre,XMR/BTC,$234.14,$276
60,SouthXchange,XMR/USD,$265.00,$140
61,Coinut,XMR/BTC,$15.64,$40
62,SouthXchange,XMR/BCH,$227.95, $40
63,Tux Exchange,XMR/BTC,$226.64,$11
64,Coinut,XMR/USDT,$210.11,$8
65,Coinut,XMR/LTC,$266.86,$2
66,Cryptomate,XMR/GBP,$243.73,$0
67,Mercatox,XMR/BTC,"$388,734",$0
68,Braziliex,XMR/BTC,$315.50,$0
69,Coinbe,XMR/BTC,$289.29,$0
