,market,pair,trade_price,trade_volume
0,Binance,NANO/BTC,$8.87,"$29,539,900"
1,Bit-Z,XRB/BTC,$8.89,"$15,609,100"
2,Binance,NANO/ETH,$8.88,"$3,936,990"
3,Binance,NANO/BNB,$9.01,"$581,883"
4,Kucoin,XRB/BTC,$8.90,"$538,203"
5,RightBTC,XRB/BTC,$8.85,"$413,126"
6,Mercatox,XRB/BTC, $8.59,"$240,426"
7,Kucoin,XRB/ETH,$8.90,"$181,527"
8,Kucoin,XRB/USDT,$8.91,"$175,576"
9,Nanex,NANO/BTCP,$8.67,"$174,448"
10,OKEx,NANO/BTC,$8.71,"$113,291"
11,Nanex,NANO/BTC,$8.93,"$59,156"
12,OKEx,NANO/USDT,$8.44,"$44,728"
13,RightBTC,XRB/ETH,$5.76,"$16,031"
14,Nanex,NANO/LTC,$9.04,"$8,079"
15,Nanex,NANO/ETH,$9.00,"$6,040"
16,OKEx,NANO/ETH,$8.40,"$3,422"
17,CoinFalcon,XRB/BTC,$8.81,"$1,687"
18,Mercatox,XRB/DOGE,$9.21,"$1,333"
19,Nanex,NANO/GRLC,$8.61,$670
20,BitFlip,XRB/RUB,$8.30,$103
21,BitFlip,XRB/USD,$8.91,$93
22,CoinFalcon,XRB/ETH,$9.30,$12
23,BitFlip,XRB/BTC,$9.34,$0
24,BitFlip,XRB/EUR,$9.37,$0
25,BitFlip,XRB/UAH,$11.53,$0
