,market,pair,trade_price,trade_volume
0,Upbit,XEM/KRW,$0.302325,"$24,598,000"
1,Bittrex,XEM/BTC,$0.290737,"$15,439,900"
2,Zaif,XEM/JPY,$0.299253,"$15,391,600"
3,Binance,XEM/BTC,$0.293630,"$14,220,500"
4,Upbit,XEM/BTC,$0.290917 ,"$7,186,100"
5,Huobi,XEM/USDT,$0.292186,"$6,155,980"
6,Poloniex,XEM/BTC,$0.294895,"$4,944,550"
7,Huobi,XEM/BTC,$0.291686,"$4,589,280"
8,Binance,XEM/ETH,$0.294002,"$2,708,620"
9,OKEx,XEM/BTC,$0.292545,"$1,343,300"
10,HitBTC,XEM/BTC,$0.299506,"$1,331,690"
11,OKEx,XEM/USDT,$0.294337,"$1,246,890"
12,Binance,XEM/BNB,$0.291759,"$682,434"
13,Zaif,XEM/BTC,$0.299506,"$573,070"
14,Bittrex,XEM/ETH,$0.291919,"$474,281"
15,Koineks,XEM/TRY,$0.299266,"$408,363"
16,AEX,XEM/BITCNY, $0.318180,"$378,994"
17,Bitcoin Indonesia,NEM/BTC,$0.292454,"$309,010"
18,Upbit,XEM/ETH,$0.292348,"$297,357"
19,HitBTC,XEM/USDT,$0.306829,"$242,032"
20,HitBTC,XEM/ETH,$0.300358,"$229,382"
21,Livecoin,XEM/BTC,$0.294082,"$206,134 "
22,Cryptopia,XEM/BTC,$0.296251,"$111,288"
23,AEX,XEM/BTC,$0.289290,"$103,108"
24,Livecoin,XEM/USD,$0.298330,"$79,359"
25,OKEx,XEM/ETH,$0.294036,"$73,366"
26,Exrates,XEM/BTC,$0.302905,"$71,383"
27,YoBit,XEM/BTC,$0.387558,"$51,154"
28,Exrates,XEM/USD,$0.311520 ,"$50,985"
29,Vebitcoin,XEM/TRY,$0.309497,"$33,353"
30,YoBit,XEM/USD,$0.400566,"$26,359"
31,Abucoins,XEM/BTC,$0.294624,"$8,543"
32,Livecoin,XEM/ETH,$0.305844,"$4,646"
33,COSS,XEM/ETH,$0.319260,"$3,640"
34,LiteBit.eu,XEM/EUR,$0.293230,"$3,169"
35,COSS,XEM/BTC,$0.325271,"$1,290"
36,Qryptos,XEM/BTC,$0.290104,$772
37,Cryptomate,XEM/GBP,$0.321928,$495
38,BTC-Alpha,XEM/BTC,$0.334492,$182
39,Coinbe,XEM/BTC,$0.284951,$0
