,market,pair,trade_price,trade_volume
0,Binance,NEO/USDT,$74.29,"$56,362,500"
1,Binance,NEO/BTC,$74.33,"$32,053,100"
2,Bitfinex,NEO/USD,$74.20,"$15,742,400"
3,CoinEgg,NEO/BTC,$74.11,"$15,328,400"
4,Upbit,NEO/KRW,$77.16,"$12,957,300"
5,Binance,NEO/ETH,$74.50,"$6,696,810"
6,OKEx,NEO/USDT,$74.51,"$5,892,210"
7,Huobi,NEO/USDT,$74.86,"$5,344,890"
8,OKEx,NEO/BTC,$74.53,"$4,016,350"
9,Bittrex,NEO/BTC,$74.37,"$3,922,560"
10,Huobi,NEO/BTC,$74.76,"$3,611,380"
11,Lbank,NEO/BTC,$74.59,"$3,221,470"
12,Bittrex,NEO/USDT,$74.44,"$3,129,490"
13,Upbit,NEO/BTC,$74.37,"$1,758,210"
14,Bitfinex,NEO/BTC,$74.48,"$1,254,600"
15,Binance,NEO/BNB,$74.35,"$1,165,630"
16,OKEx,NEO/ETH,$74.78,"$784,244"
17,Gate.io,NEO/USDT,$74.63,"$572,185"
18,Bitfinex,NEO/ETH,$74.70,"$545,636"
19,Bittrex,NEO/ETH,$74.52,"$522,601"
20,Kucoin,NEO/BTC,$74.77,"$453,958"
21,Upbit,NEO/USDT,$73.32,"$335,230"
22,Upbit,NEO/ETH,$74.52,"$302,843"
23,Kucoin,NEO/ETH,$74.17,"$262,933"
24,Kucoin,NEO/USDT,$74.93,"$245,809"
25,BCEX,ANS/BTC,$76.46,"$244,118"
26,HitBTC,NEO/BTC,$74.14,"$196,145"
27,OTCBTC,NEO/BTC,$74.98,"$171,943"
28,Cryptopia,NEO/BTC,$74.24,"$117,022"
29,Bibox,NEO/ETH,$73.69,"$83,711"
30,Coinnest,NEO/KRW,$68.26,"$80,825"
31,Kucoin,DBC/NEO,$74.19,"$72,853"
32,Bitbns,NEO/INR,$76.85,"$69,230"
33,Koinex,NEO/INR,$76.83,"$65,617"
34,Quoine,NEO/SGD,$73.96,"$54,893"
35,Ovis,NEO/TRY,$77.81,"$51,428"
36,Livecoin,NEO/BTC,$74.93,"$46,142"
37,Bibox,NEO/BTC,$74.24,"$43,799"
38,Kucoin,TKY/NEO,$72.61,"$41,968"
39,Quoine,NEO/JPY,$74.76,"$41,197"
40,Kucoin,GAS/NEO,$76.20,"$41,152"
41,Quoine,NEO/USD,$73.97,"$35,130"
42,Kucoin,NEO/KCS,$73.58,"$34,209"
43,Vebitcoin,NEO/TRY,$82.26,"$30,199"
44,Bibox,NEO/USDT,$71.23,"$28,776"
45,Kucoin,TNC/NEO,$73.01,"$25,871"
46,HitBTC,NEO/ETH,$74.52,"$21,402"
47,Livecoin,NEO/USD,$73.73," $20,571"
48,Gate.io,NEO/BTC,$74.69,"$19,770"
49,Coinrail,NEO/BTC,$74.28,"$17,986"
50,Kucoin,ZPT/NEO,$70.94,"$17,083"
51,Kucoin,QLC/NEO,$72.76,"$12,031"
52,Kucoin,RPX/NEO,$73.43,"$10,888"
53,Kucoin,LTC/NEO,$79.08,"$8,974"
54,Qryptos,NEO/BTC,$73.63,"$7,994"
55,Exrates,NEO/BTC,$74.25,"$7,082"
56,OpenLedger DEX,NEO/BTC,$71.23,"$6,257"
57,Kucoin,DRGN/NEO,$75.38,"$6,034"
58,Kucoin,PRL/NEO,$74.00,"$5,705"
59,Kucoin,FOTA/NEO,$75.00,"$5,262"
60,Qryptos,NEO/ETH,$74.37,"$5,000"
61,BigONE,NEO/BTC,$96.69,"$4,856"
62,Kucoin,BCH/NEO,$74.66,"$4,855"
63,Kucoin,EOS/NEO,$73.16,"$4,844"
64,Kucoin,ACAT/NEO,$73.66,"$4,422"
65,Kucoin,DENT/NEO,$77.11,"$3,947"
66,Kucoin,MOD/NEO,$63.93,"$2,338"
67,Kucoin,QTUM/NEO,$65.28,"$2,173"
68,TDAX,NEO/THB,$73.80,"$1,687"
69,Livecoin,NEO/ETH,$73.61,"$1,218"
70,Tidebit,NEO/HKD,$82.85,$829
71,Allcoin,NEO/BTC,$59.34,$178
72,Quoine,NEO/EUR,$4797.59,$0
73,Tidebit,NEO/BTC,$72.43,$0
74,Lbank,DBC/NEO,$66.76,$0
75,Tidebit,QLC/NEO,$38.98,$0
76,HitBTC,NEO/USDT,$76.52,"$1,053,570"
