,market,pair,trade_price,trade_volume
0,Bitcoin Indonesia,NXT/IDR,$0.150423,"$454,572"
1,Bittrex,NXT/BTC,$0.147086,"$364,488"
2,Poloniex,NXT/USDT,$0.147939,"$331,624"
3,Poloniex,NXT/BTC,$0.146724,"$244,798"
4,HitBTC,NXT/BTC,$0.146544 ,"$180,157"
5,Upbit,NXT/BTC,$0.147086,"$142,166"
6,HitBTC,NXT/USDT,$0.150670,"$103,779"
7,Bittrex,NXT/USDT,$0.145568,"$102,813"
8,Bitcoin Indonesia,NXT/BTC,$0.147176,"$100,628"
9,HitBTC,NXT/ETH,$0.146460,"$51,523"
10,AEX,NXT/BTC,$0.135605,"$13,404"
11,CoinEgg,NXT/BTC,$0.153595,"$11,890"
12,Upbit,NXT/USDT,$0.142066,"$4,500"
13,Poloniex,NXT/XMR,$0.146677,"$2,606"
14,Livecoin,NXT/BTC,$0.145278,"$2,001"
15,Stocks.Exchange,NXT/BTC,$0.156398,"$1,960"
16,AEX,NXT/BITCNY,$0.128852,"$1,096"
17,LiteBit.eu,NXT/EUR,$0.147818,$676
18,Stocks.Exchange,DIX/NXT,$0.146497,$365
19,C-CEX,NXT/BTC,$0.143831,$3
20,C-CEX,NXT/USD,$0.165234,$0
21,SouthXchange,NXT/BTC,$0.108484,$0
22,Stocks.Exchange,STEX/NXT,$0.137156,$0
