,market,pair,trade_price,trade_volume
0,Huobi,OMG/USDT,$12.28,"$9,525,040"
1,Binance,OMG/BTC,$12.23,"$6,883,210"
2,Ethfinex,OMG/USD,$12.28,"$3,960,230"
3,Huobi,OMG/ETH,$12.28 ,"$1,654,570"
4,Upbit,OMG/KRW,$12.77,"$1,599,230"
5,Huobi,OMG/BTC,$12.25,"$1,519,410"
6,Bittrex,OMG/BTC,$12.31,"$1,483,960"
7,Binance,OMG/ETH,$12.26,"$1,335,940"
8,Bittrex,OMG/USDT,$12.25,"$872,083"
9,Upbit,OMG/BTC,$12.31,"$795,201"
10,BX Thailand,OMG/THB,$12.51,"$757,190"
11,Ethfinex,OMG/BTC,$12.27,"$681,300"
12,Ovis,OMG/TRY,$12.79,"$361,843"
13,Neraex,OMG/BTC,$12.31,"$321,468"
14,IDAX,OMG/ETH,$11.95,"$304,962"
15,Poloniex,OMG/BTC,$12.32,"$255,794"
16,ChaoEX,OMG/ETH,$12.28,"$192,713"
17,OKEx,OMG/USDT,$11.86,"$161,474"
18,CoinBene,OMG/USDT,$12.23,"$147,552"
19,Bittrex,OMG/ETH,$12.32,"$134,508"
20,Upbit,OMG/ETH,$12.32,"$110,663"
21,Koinex,OMG/INR,$12.52,"$100,918"
22,Ethfinex,OMG/ETH,$12.30,"$82,081"
23,OKEx,OMG/BTC,$12.13,"$72,438"
24,Upbit,OMG/USDT,$12.25,"$61,084"
25,Kucoin,OMG/BTC,$12.52," $48,924"
26,Poloniex,OMG/ETH,$12.20,"$44,907"
27,Bancor Network,OMG/BNT,$12.26,"$41,679"
28,Mercatox,OMG/BTC,$12.32,"$39,784"
29,Kucoin,OMG/ETH,$12.10,"$39,768"
30,Liqui,OMG/BTC,$12.21,"$35,318"
31,Liqui,OMG/USDT,$11.98,"$32,786"
32,Liqui,OMG/ETH, $12.15,"$31,946"
33,Mercatox,OMG/ETH,$12.06,"$30,310"
34,Gate.io,OMG/USDT,$12.49,"$27,987"
35,AEX,OMG/BITCNY,$13.16,"$22,542"
36,Cryptopia,OMG/BTC,$12.34,"$15,825"
37,Bit-Z,OMG/BTC,$12.41,"$14,113"
38,Coinnest,OMG/KRW,$10.37,"$12,561"
39,HitBTC,OMG/BTC,$11.77,"$9,319"
40,ForkDelta,OMG/ETH,$11.81,"$7,308"
41,HitBTC,OMG/USDT,$12.12,"$7,053"
42,OKEx,OMG/ETH,$12.27,"$6,812"
43,HitBTC,OMG/ETH,$12.27,"$4,192"
44,BigONE,OMG/BTC,$12.30,"$4,119"
45,Radar Relay,OMG/WETH,$11.96,"$3,968"
46,Livecoin,OMG/BTC,$13.56,"$2,277"
47,TDAX,OMG/THB,$11.74,"$2,270"
48,IDEX,OMG/ETH,$14.04,"$1,509"
49,Gate.io,OMG/ETH,$11.76,"$1,311"
50,Gate.io,OMG/BTC,$12.42,"$1,200"
51,Livecoin,OMG/USD,$13.00,$958
52,COSS,OMG/BTC,$11.77,$605
53,COSS,OMG/ETH,$12.27,$439
54,Coinrail,OMG/BTC,$12.28, $411
55,Lykke Exchange,OMG/ETH,$13.07,$389
56,Livecoin,OMG/ETH,$13.16,$297
57,Paradex,OMG/WETH,$11.80,$220
58,OpenLedger DEX,OMG/BITUSD,$9.29,$48
59,OpenLedger DEX,OMG/BTS,$13.32,$4
60,Lykke Exchange,OMG/BTC,$12.67,$0
61,Tidex,OMG/BTC,$9.96 ,$0
62,Tidex,OMG/ETH,$11.41,$0
63,Stellar Decentralized Exchange,OMG/XLM,$11.94,$0
64,TDAX,OMG/BTC,$9.06,$0
65,TDAX,OMG/ETH,$12.64,$0
66,BigONE,OMG/ETH, $12.68,$0
67,Coinrail,OMG/KRW,$10.68,$0
68,OTCBTC,OMG/ETH,$0.225650,$0
69,IDAX,OMG/BTC,$12.62,$0
70,GOPAX,OMG/KRW,$12.94,"$94,568"
71,Cobinhood,OMG/ETH,$11.48,$856
72,Cobinhood,OMG/BTC,$13.40,$40
73,Cobinhood,OMG/USDT,$8.00,$0
