,market,pair,trade_price,trade_volume
0,Bittrex,PIVX/BTC,$4.19,"$690,564"
1,Binance,PIVX/BTC,$4.14,"$572,302"
2,Upbit,PIVX/BTC,$4.19,"$225,701"
3,Upbit,PIVX/KRW,$4.33,"$214,937"
4,Trade By Trade,PIVX/BTC,$4.17,"$196,863"
5,Binance,PIVX/ETH,$4.16,"$90,957"
6,Trade By Trade,PIVX/USDT,$4.20,"$51,832"
7,Binance,PIVX/BNB,$4.08,"$40,337"
8,Cryptopia,PIVX/BTC,$4.15,"$8,429"
9,LiteBit.eu,PIVX/EUR,$4.23,"$3,541"
10,YoBit,PIVX/BTC,$3.89,"$1,580"
11,Livecoin,PIVX/BTC,$4.26,"$1,252"
12,Coinroom,PIVX/PLN,$4.17,$832
13,CryptoBridge,PIVX/BTC,$3.83,$721
14,CoinExchange,PIVX/BTC,$4.16,$75
15,Livecoin,PIVX/USD,$4.44,$1
16,CoinExchange,PIVX/ETH,$4.52,$0
17,Bisq,DNET/BTC,$0.047914,$0
18,Coinbe,PIVX/BTC,$5.42,$0
