,market,pair,trade_price,trade_volume
0,Binance,PPT/BTC,$15.97,"$927,055"
1,Binance,PPT/ETH,$15.95,"$479,205"
2,ForkDelta,PPT/ETH,$14.99,"$430,579"
3,LATOKEN,PPT/LA,$15.66,"$26,156"
4,Mercatox,PPT/BTC,$14.68,"$23,739"
5,Mercatox,PPT/ETH,$17.79," $18,184"
6,Token Store,PPT/ETH,$20.54,"$10,691"
7,HitBTC,PPT/BTC,$16.18,"$10,049"
8,OKEx,PPT/BTC,$15.81,"$7,298"
9,Kucoin,PPT/BTC,$15.66,"$4,135"
10,HitBTC,PPT/ETH,$16.65,"$3,392"
11,Kucoin,PPT/ETH,$16.02,"$2,551"
12,OKEx,PPT/USDT,$15.70 ,"$2,242"
13,Radar Relay,PPT/WETH,$16.26,$419
14,Livecoin,PPT/BTC,$16.27,$35
15,Lykke Exchange,PPT/BTC,$23.04,$0
16,OKEx,PPT/ETH,$16.66,$0
