,market,pair,trade_price,trade_volume
0,Huobi,QASH/BTC,$0.704011,"$1,897,530"
1,Huobi,QASH/ETH,$0.704745,"$1,640,260"
2,Quoine,QASH/JPY,$0.704863,"$795,404"
3,Qryptos,QASH/BTC,$0.709488 ,"$625,893"
4,Ethfinex,QSH/USD,$0.703000,"$416,588"
5,Ethfinex,QSH/BTC,$0.714830,"$255,711"
6,Qryptos,QASH/ETH,$0.701059,"$252,971"
7,Quoine,QASH/BTC,$0.704238,"$182,830"
8,Ethfinex,QSH/ETH,$0.710763,"$153,888"
9,Quoine,QASH/ETH,$0.703369,"$132,038"
10,Quoine,QASH/USD,$0.700610,"$107,612"
11,Gate.io,QASH/ETH,$0.705031,"$84,899"
12,Gate.io,QASH/BTC,$0.705505,"$61,132"
13,Gate.io,QASH/USDT,$0.692563,"$54,483"
14,IDEX,QASH/ETH,$0.707645,"$26,969"
15,Quoine,QASH/SGD,$0.738169,"$24,144"
16,AEX,QASH/BTC,$0.642767,"$21,501"
17,Qryptos,UBTC/QASH,$0.608801,"$8,205"
18,EXX,QASH/ETH,$0.705031,"$6,608"
19,Qryptos,RKT/QASH,$0.710511,"$6,160"
20,Qryptos,LALA/QASH,$0.095038,"$1,294"
21,Quoine,QASH/EUR,$0.703519,$812
22,Qryptos,SPHTX/QASH,$0.759334,$671
23,Qryptos,ETN/QASH,$0.652481,$415
24,Qryptos,BMC/QASH,$0.710885,$226
25,Qryptos,FDX/QASH,$0.602315,$115
26,Qryptos,VZT/QASH,$0.804999,$18
27,Quoine,QASH/AUD,$0.856530,$15
28,Qryptos,EZT/QASH,$0.705056,$4
29,Qryptos,DENT/QASH,$0.738492,$0
30,Qryptos,MCO/QASH,$0.428599,$0
31,Qryptos,ENJ/QASH,$0.248979,$0
32,Quoine,QASH/IDR,$0.014672,$0
33,OTCBTC,QASH/ETH,$0.051633,$0
34,Qryptos,ONG/QASH,$0.662716,$0
35,Qryptos,MTN/QASH,$0.423072,$0
36,GOPAX,QASH/KRW,$0.713561,"$12,496"
37,GOPAX,QASH/BTC,$0.686584,"$1,161"
