,market,pair,trade_price,trade_volume
0,Lbank,QTUM/BTC,$19.76,"$52,218,600"
1,Bithumb,QTUM/KRW,$20.64,"$51,698,700"
2,Binance,QTUM/BTC,$19.90,"$41,862,700"
3,Upbit,QTUM/KRW,$20.62,"$36,762,200"
4,Binance,QTUM/USDT,$19.95,"$32,770,600"
5,Bit-Z,QTUM/BTC,$19.89,"$20,844,200"
6,Binance,QTUM/ETH,$19.87,"$9,558,440"
7,Coinone,QTUM/KRW,$20.59,"$8,524,820"
8,OKEx,QTUM/USDT,$19.99,"$5,684,460"
9,Huobi,QTUM/USDT,$19.89,"$4,336,810"
10,CoinEgg,QTUM/BTC,$19.54,"$3,915,350"
11,OKEx,QTUM/BTC,$19.88," $3,695,300"
12,Binance,QTUM/BNB,$20.01,"$3,358,380"
13,Huobi,QTUM/BTC,$19.88,"$2,913,690"
14,Huobi,QTUM/ETH,$19.89,"$2,422,480"
15,Bittrex,QTUM/BTC,$19.94,"$1,972,130"
16,ZB.COM,QTUM/USDT,$20.00,"$1,813,300"
17,Upbit,QTUM/BTC,$19.85,"$1,766,760"
18,Allcoin,OC/QTUM,$21.04,"$1,486,380"
19,Lbank,INK/QTUM,$24.31,"$1,435,470"
20,Lbank,BOT/QTUM,$19.88,"$1,170,420"
21,Bitfinex,QTUM/USD,$19.93,"$1,000,140"
22,EXX,QTUM/BTC,$19.83,"$710,788"
23,Gate.io,QTUM/USDT,$20.01," $695,929"
24,OKEx,QTUM/ETH,$19.86,"$583,346"
25,ZB.COM,QTUM/BTC,$19.92,"$504,904"
26,EXX,QTUM/USDT,$19.80,"$280,679"
27,BCEX,QTUM/BTC,$18.84,"$251,953"
28,Bitfinex,QTUM/BTC,$19.80,"$244,764"
29,EXX,CFUN/QTUM,$20.78,"$208,466"
30,Bittrex,QTUM/ETH, $19.98,"$208,387"
31,Upbit,QTUM/ETH,$19.98,"$176,495"
32,OTCBTC,QTUM/BTC,$20.04,"$168,314"
33,Coinnest,QTUM/KRW,$17.56,"$167,980"
34,Bitfinex,QTUM/ETH,$20.06,"$115,837"
35,Coinrail,QTUM/BTC,$19.83,"$84,370 "
36,EXX,QTUM/ETH,$19.97,"$71,081"
37,OTCBTC,QTUM/ETH,$20.08,"$67,664"
38,Kucoin,QTUM/BTC,$19.59,"$58,284"
39,Gate.io,QTUM/ETH,$19.31,"$57,390"
40,Bibox,QTUM/BTC,$19.16,"$54,502"
41,EXX,QBT/QTUM,$18.55,"$53,149"
42,EXX,SPC/QTUM,$19.73,"$48,621"
43,Bibox,QTUM/USDT,$18.71,"$48,063"
44,HitBTC,QTUM/USDT,$20.25,"$47,220"
45,HitBTC,QTUM/BTC,$19.89,"$38,474"
46,Bibox,QTUM/ETH,$19.97,"$35,044"
47,BigONE,QTUM/BTC,$19.74,"$32,775"
48,Vebitcoin,QTUM/TRY,$22.54,"$25,285"
49,Gate.io,QBT/QTUM,$16.67,"$24,006"
50,BigONE,ATN/QTUM,$22.74,"$22,978"
51,Allcoin,AWR/QTUM,$20.48,"$19,586"
52,Gate.io,QTUM/BTC,$19.48,"$19,204"
53,EXX,BOT/QTUM,$19.62,"$18,100"
54,LiteBit.eu,QTUM/EUR,$20.06,"$17,925"
55,Allcoin,ATN/QTUM,$12.07,"$11,155"
56,Allcoin,QTUM/BTC,$19.40,"$7,533"
57,HitBTC,QTUM/ETH,$19.81,"$5,873"
58,EXX,EOS/QTUM,$22.72,"$5,591"
59,BigONE,BOT/QTUM,$19.83,"$5,531"
60,Livecoin,QTUM/BTC,$19.53,"$3,556"
61,Coinrail,QTUM/KRW,$21.57,"$3,535"
62,Gate.io,TSL/QTUM,$20.08,"$3,148"
63,Gate.io,MED/QTUM,$18.70,"$2,799"
64,EXX,INK/QTUM,$22.78,"$2,559 "
65,Kucoin,QTUM/NEO,$22.92,"$2,161"
66,EXX,QTUM/HSR,$27.64,"$1,913"
67,Livecoin,QTUM/ETH,$21.05,"$1,737"
68,Livecoin,QTUM/USD,$20.03,"$1,321"
69,BigONE,AWR/QTUM,$21.56,"$1,116"
70,Allcoin,HLC/QTUM,$22.14,"$1,041"
71,EXX,TSL/QTUM,$21.31 ,"$1,024"
72,Gate.io,INK/QTUM,$22.11,$727
73,Allcoin,CFUN/QTUM,$20.85,$720
74,Abucoins,QTUM/BTC,$20.18,$682
75,Bleutrade,QTUM/BTC,$22.27,$590
76,CoinExchange,QTUM/BTC,$18.98,$444
77,Lbank,PUT/QTUM,$19.77,$222
78,Qryptos,QTUM/ETH,$27.05,$188
79,Allcoin,PUT/QTUM,$21.57,$151
80,CoinExchange,QTUM/ETH,$20.02,$65
81,EXX,MONA/QTUM,$19.19,$54
82,EXX,ETP/QTUM,$18.56,$0
83,Bleutrade,QTUM/DOGE,$13.76,$0
84,Quoine,QTUM/SGD,$22.92,$0
85,Quoine,QTUM/EUR,$6.36,$0
86,Quoine,QTUM/JPY,$23.58,$0
87,Quoine,QTUM/USD,$20.64,$0
88,Qryptos,QTUM/BTC,$26.76 ,$0
89,Liqui,QTUM/BTC,$25.65,$0
90,Liqui,QTUM/ETH,$24.03,$0
91,Liqui,QTUM/USDT,$14.82,$0
92,Allcoin,INK/QTUM,$17.90,$0
93,BigONE,INK/QTUM, $20.32,$0
94,Allcoin,BOT/QTUM,$17.67,$0
95,Allcoin,TSL/QTUM,$18.47,$0
96,Allcoin,QBT/QTUM,$16.29,$0
97,Allcoin,SPC/QTUM,$13.67,$0
98,Lbank,CHAT/QTUM,$13.85,$0
99,GOPAX,QTUM/KRW,$20.66,"$1,232,230"
100,Cobinhood,QTUM/ETH,$18.31,"$2,814"
101,Cobinhood,QTUM/BTC,$13.56,"$1,195"
102,Cobinhood,QTUM/USDT,$23.91,$339
