,market,pair,trade_price,trade_volume
0,Bittrex,RDD/BTC,$0.005695,"$2,120,390"
1,Upbit,RDD/BTC,$0.005605,"$2,082,380"
2,LiteBit.eu,RDD/EUR,$0.005670,"$52,427"
3,Cryptopia,RDD/BTC,$0.005695,"$34,842"
4,Vebitcoin,RDD/TRY,$0.005116,"$24,286"
5,YoBit,RDD/BTC,$0.005695,"$13,722"
6,Bleutrade,RDD/DOGE,$0.005613,"$5,404"
7,YoBit,RDD/USD,$0.006057,"$5,366"
8,Bleutrade,RDD/BTC,$0.005695,"$2,079"
9,Trade Satoshi,RDD/DOGE,$0.005689,$161
10,Trade Satoshi,RDD/BTC,$0.005695,$141
11,Trade Satoshi,RDD/LTC,$0.006295,$15
12,Bisq,RDD/BTC,$0.000452,$0
13,Trade Satoshi,RDD/BCH,$0.005299,$0
14,Trade Satoshi,RDD/USDT,$0.005780,$0
15,Coinhouse,RDD/BTC,$0.006328,$0
