,market,pair,trade_price,trade_volume
0,OKEx,R/BTC,$1.12,"$1,678,530"
1,OKEx,R/ETH,$1.12,"$814,058"
2,BTC-Alpha,R/BTC,$1.12,"$612,805"
3,Kucoin,R/ETH,$1.12,"$562,998"
4,Kucoin,R/BTC,$1.12,"$548,154"
5,HitBTC,R/ETH,$1.11,"$85,054"
6,BitFlip,R/BTC,$1.25,"$83,204"
7,Cryptopia,R/BTC,$1.12,"$82,231"
8,BitFlip,R/RUB,$1.09,"$37,879"
9,OKEx,R/USDT,$1.10,"$12,285"
10,Mercatox,R/BTC,$0.970840,"$6,080"
11,HitBTC,R/BTC,$1.10,"$1,542"
12,Kuna,R/BTC,$1.18,$196
13,YoBit,R/BTC,$1.08,$185
14,YoBit,R/USD,$1.15,$117
15,BitFlip,R/USD,$1.05,$1
16,C-CEX,R/BTC,$0.989734,$0
17,BitFlip,R/EUR,$2.47 ,$0
18,BitFlip,R/UAH,$1.15,$0
19,Simex,R/USD,$1.24,$0
