,market,pair,trade_price,trade_volume
0,Bithumb,XRP/KRW,$0.714500,"$134,420,000"
1,Upbit,XRP/KRW,$0.712623,"$55,180,800 "
2,Huobi,XRP/USDT,$0.691162,"$40,474,400"
3,Binance,XRP/BTC,$0.687942,"$38,665,700"
4,Bitfinex,XRP/USD,$0.686580,"$31,024,400"
5,Bitbank,XRP/JPY,$0.692783,"$30,695,700"
6,Coinone,XRP/KRW,$0.714500,"$24,458,500"
7,OKEx,XRP/USDT,$0.688261,"$21,786,700"
8,Bitstamp,XRP/USD,$0.689470,"$15,841,000"
9,Korbit,XRP/KRW,$0.714500,"$9,609,690"
10,Kraken,XRP/EUR,$0.686746,"$8,899,120"
11,OKEx,XRP/BTC,$0.687490,"$8,673,410"
12,Poloniex,XRP/BTC,$0.681877,"$7,574,450"
13,Kraken,XRP/USD,$0.685820,"$6,843,980 "
14,Bittrex,XRP/BTC,$0.688123,"$6,296,950"
15,CoinBene,XRP/USDT,$0.696964,"$6,001,360"
16,Binance,XRP/ETH,$0.688409,"$5,733,000"
17,Bitfinex,XRP/BTC,$0.686584,"$5,657,740"
18,Poloniex,XRP/USDT,$0.690262,"$4,878,510"
19,Bitstamp,XRP/BTC,$0.689300,"$4,152,910"
20,HitBTC,XRP/BTC, $0.686765,"$3,720,510"
21,Huobi,XRP/BTC,$0.689119,"$3,461,140"
22,CoinEgg,XRP/BTC,$0.689481,"$3,179,490"
23,Vebitcoin,XRP/TRY,$0.693171,"$3,119,250"
24,Bitstamp,XRP/EUR,$0.686153,"$3,019,860"
25,Upbit,XRP/BTC,$0.688123,"$2,762,780 "
26,Bittrex,XRP/USDT,$0.684644,"$2,734,080"
27,Kraken,XRP/BTC,$0.686494,"$2,456,650"
28,OKEx,XRP/ETH,$0.689028,"$2,133,870"
29,AEX,XRP/BITCNY,$0.661485,"$1,962,320"
30,ZB.COM,XRP/USDT,$0.691962,"$1,934,030"
31,Exmo,XRP/USD,$0.698041,"$1,866,390"
32,BTC Markets,XRP/AUD,$0.691126,"$1,676,050"
33,BTCTurk,XRP/TRY,$0.688056,"$1,544,590"
34,Koinex,XRP/INR,$0.715789,"$1,444,940"
35,Gate.io,XRP/USDT,$0.692362,"$1,258,000"
36,CEX.IO,XRP/USD,$0.698900,"$1,210,130"
37,Bittrex,XRP/ETH,$0.690558,"$985,187 "
38,Bitcoin Indonesia,XRP/IDR,$0.704396,"$914,042"
39,Zebpay,XRP/INR,$0.706877,"$808,589"
40,Gatehub,XRP/USD,$0.681223,"$730,039"
41,BX Thailand,XRP/THB,$0.697909,"$708,312"
42,Bitso,XRP/MXN,$0.689778,"$693,753"
43,Unocoin,XRP/INR,$0.706262,"$680,873"
44,Koineks,XRP/TRY,$0.690614 ,"$630,779"
45,Exmo,XRP/BTC,$0.690115,"$559,587"
46,RippleFox,XRP/CNY,$0.709233,"$542,455"
47,ZB.COM,XRP/BTC,$0.688938,"$438,819"
48,Bitbns,XRP/INR,$0.708413,"$336,519"
49,Upbit,XRP/ETH,$0.685503,"$335,408"
50,Exmo,XRP/RUB,$0.662467,"$327,034"
51,Upbit,XRP/USDT,$0.689261,"$317,621"
52,Ripple China,XRP/CNY,$0.707175,"$276,257"
53,BCEX,XRP/BTC,$0.648380,"$268,102"
54,CEX.IO,XRP/BTC,$0.691111,"$226,251"
55,Gatehub,XRP/BTC,$0.691609,"$204,926"
56,Gatehub,XRP/EUR,$0.693011,"$202,606"
57,Quoine,XRP/JPY,$0.709676,"$199,477"
58,Coinrail,XRP/BTC,$0.687127,"$160,064"
59,Bitstamp (Ripple Gateway),XRP/USD,$0.683881,"$154,554"
60,RippleFox,XRP/XLM,$0.683986,"$143,939"
61,Kraken,XRP/CAD,$0.690080,"$140,690"
62,Fatbtc,XRP/CNY,$0.733904,"$133,050"
63,Gatehub,XRP/ETH,$0.692227,"$127,856"
64,Altcoin Trader,XRP/ZAR,$0.707777,"$112,866"
65,OTCBTC,XRP/BTC,$0.701069,"$97,473"
66,Bitcoin Indonesia,XRP/BTC,$0.688033,"$95,700"
67,Exrates,XRP/USD,$0.785000,"$88,331"
68,HitBTC,XRP/ETH,$0.687836,"$79,120"
69,Kraken,XRP/JPY,$0.702079,"$77,277"
70,Exrates,XRP/BTC,$0.729994,"$77,249"
71,CEX.IO,XRP/EUR,$0.682796,"$63,117"
72,LiteBit.eu,XRP/EUR,$0.691300,"$58,643"
73,Bitstamp (Ripple Gateway),XRP/BTC,$0.691419,"$39,813"
74,Gate.io,XRP/BTC,$0.693465,"$38,271"
75,Bitsane,XRP/BTC,$0.691654,"$37,939"
76,Ovis,XRP/TRY,$0.716192,"$27,213"
77,Kuna,XRP/UAH,$0.693129,"$24,533"
78,Mr. Exchange,XRP/ETH,$0.697204," $20,198"
79,Gatehub,XRP/ETC,$0.705653,"$19,362"
80,Mr. Exchange,XRP/ADA,$0.777599,"$15,536"
81,BTC Markets,XRP/BTC,$0.687761,"$14,059"
82,The Rock Trading,XRP/EUR,$0.693408,"$13,941"
83,Mr. Exchange,XRP/JPY,$0.698795,"$13,867"
84,Bitso,XRP/BTC,$0.689029,"$12,062"
85,Mr. Exchange,XRP/BTC,$0.694704,"$10,818"
86,Bitsane,XRP/ETH,$0.699299,"$10,348"
87,AEX,XRP/BTC,$0.588449,"$9,721"
88,Mr. Exchange,XRP/USD,$0.697337,"$8,797"
89,Mr. Exchange,XRP/ETC,$0.758284,"$8,421"
90,Bitsane,XRP/USD,$0.710344," $6,581"
91,Abucoins,XRP/BTC,$0.696724,"$6,087"
92,Gatehub,XRP/QAU,$0.761019,"$5,741"
93,Cryptomate,XRP/GBP,$0.737703,"$5,523"
94,BitFlip,XRP/RUB,$0.720986,"$5,145"
95,Mr. Exchange,XRP/REP,$0.713289,"$4,731"
96,Bitsane,XRP/LTC,$0.699500,"$4,155"
97,Qryptos,XRP/BTC, $0.694460,"$3,862"
98,Gatehub,XRP/REP,$0.709438,"$3,809"
99,BitBay,XRP/BTC,$0.705958,"$2,830"
100,Coinrail,XRP/KRW,$0.708398,"$2,826"
101,Bitsane,XRP/EUR,$0.677072,"$2,623"
102,BitBay,XRP/EUR,$0.703532,"$2,474"
103,Stellar Decentralized Exchange,XRP/XLM,$0.677273,"$2,075"
104,Stellarport,XRP/XLM,$0.677273,"$2,075"
105,Mr. Exchange,XRP/LTC,$0.724831,"$1,932"
106,The Rock Trading,BTC/XRP,$0.688983,"$1,647"
107,CoinFalcon,XRP/BTC,$0.681515,"$1,086"
108,BitFlip,XRP/USD,$0.733000,"$1,072"
109,BitFlip,XRP/BTC,$0.724245,$991
110,Rippex,XRP/BRL,$0.648981,$908
111,Tripe Dice Exchange,XRP/BTC,$0.691744,$796
112,Bits Blockchain,XRP/BTC,$0.691744,$791
113,BitFlip,XRP/UAH,$0.810299,$635
114,BitBay,XRP/USD,$0.650000, $292
115,Bitsane,XRP/BCH,$0.715248,$195
116,Bitsane,XRP/DASH,$0.679315,$154
117,LakeBTC,XRP/BTC,$0.579396,$58
118,Bitsane,ICN/XRP,$0.657379,$36
119,BitFlip,XRP/EUR,$0.862752,$0
120,Quoine,XRP/EUR,$0.271539,$0
121,Quoine,XRP/IDR,$0.002106,$0
122,Quoine,XRP/SGD,$0.921759,$0
123,Quoine,XRP/USD,$1.10,$0
124,Bitlish,XRP/EUR,$0.718343,$0
125,CoinFalcon,XRP/ETH,$0.699024,$0
126,OTCBTC,XRP/ETH,$0.687836,$0
127,Coinbe,XRP/BTC,$0.741355,$0
128,GOPAX,XRP/KRW,$0.716378,"$2,239,600"
129,xBTCe,XRP/USD,$0.716280,$158
