,market,pair,trade_price,trade_volume
0,Upbit,SNT/KRW,$0.119240,"$30,320,900"
1,Binance,SNT/BTC,$0.115264,"$4,565,220"
2,Huobi,SNT/USDT,$0.115264,"$2,113,640"
3,Huobi,SNT/BTC,$0.115490,"$2,112,770"
4,Upbit,SNT/BTC,$0.115174,"$1,159,230"
5,Bittrex,SNT/BTC,$0.115083,"$940,991"
6,Binance,SNT/ETH,$0.115458,"$272,388"
7,TOPBTC,SNT/ETH,$0.119497,"$269,887"
8,OKEx,SNT/USDT,$0.116054,"$239,243"
9,Ethfinex,SNT/USD,$0.114600,"$166,101"
10,ChaoEX,SNT/ETH,$0.114782,"$114,021"
11,Liqui,SNT/BTC,$0.114450,"$95,785"
12,Liqui,SNT/USDT,$0.113487,"$90,905"
13,Liqui,SNT/ETH,$0.114994,"$90,695 "
14,IDAX,SNT/BTC,$0.144645,"$87,882"
15,OKEx,SNT/BTC,$0.115626,"$82,749"
16,Gate.io,SNT/USDT,$0.116654,"$75,173"
17,Ethfinex,SNT/ETH,$0.115755,"$41,741"
18,Ethfinex,SNT/BTC,$0.113908,"$40,344"
19,LATOKEN,SNT/LA,$0.114239,"$37,179"
20,Bittrex,SNT/ETH, $0.115240,"$33,642"
21,Upbit,SNT/ETH,$0.113735,"$24,980"
22,IDAX,SNT/ETH,$0.121287,"$16,199"
23,AEX,SNT/BITCNY,$0.126565,"$13,762"
24,Bancor Network,SNT/BNT,$0.116156,"$8,436"
25,Vebitcoin,SNT/TRY,$0.127891,"$8,310"
26,Neraex,SNT/BTC,$0.115083,"$6,985"
27,Coinrail,SNT/BTC,$0.115354,"$4,821"
28,OKEx,SNT/ETH,$0.116138,"$4,802"
29,HitBTC,SNT/BTC,$0.114812,"$3,667"
30,Gate.io,SNT/ETH,$0.116253,"$2,579"
31,Kucoin,SNT/BTC,$0.115716,"$1,461"
32,Kucoin,SNT/ETH, $0.114765,$991
33,HitBTC,SNT/ETH,$0.115566,$951
34,Gate.io,SNT/BTC,$0.113908,$742
35,Livecoin,SNT/BTC,$0.096551,$526
36,HitBTC,SNT/USDT,$0.117555,$390
37,Paradex,SNT/WETH,$0.113286,$235
38,Livecoin,SNT/USD,$0.110000,$79
39,Livecoin,SNT/ETH,$0.124943,$18
40,Gatecoin,SNT/BTC,$0.084075,$0
41,Gatecoin,SNT/ETH,$0.657926,$0
42,Tidex,SNT/BTC,$0.121502,$0
43,Tidex,SNT/WAVES,$0.071349,$0
44,IDEX,SNT/ETH,$0.085817,$0
45,BigONE,SNT/BTC,$0.109840,$0
46,Radar Relay,SNT/WETH,$0.112837,$0
47,OTCBTC,SNT/ETH,$0.160185,$0
48,GOPAX,SNT/KRW,$0.120179,"$1,200,120"
49,Cobinhood,SNT/ETH,$0.117912,$631
50,GOPAX,SNT/BTC,$0.117524,$599
51,Cobinhood,SNT/BTC,$0.113546,$234
