,market,pair,trade_price,trade_volume
0,Upbit,STEEM/KRW,$2.30,"$1,141,920"
1,Binance,STEEM/BTC,$2.26,"$799,727"
2,Bittrex,STEEM/BTC,$2.21,"$399,526"
3,Upbit,STEEM/BTC,$2.21,"$355,997"
4,Binance,STEEM/ETH,$2.26 ,"$194,086"
5,Poloniex,STEEM/BTC,$2.11,"$137,421"
6,OpenLedger DEX,STEEM/BTS,$2.26,"$47,826"
7,Binance,STEEM/BNB,$2.27,"$39,208"
8,Vebitcoin,STEEM/TRY,$2.43,"$22,025"
9,Poloniex,STEEM/ETH,$2.09,"$8,262"
10,HitBTC,STEEM/BTC,$2.08,"$5,561"
11,OpenLedger DEX,STEEM/BTC,$2.36,"$1,107"
12,OpenLedger DEX,STEEM/BITUSD,$2.56,"$1,066"
13,RuDEX,STEEM/BTC,$2.32,$65
14,RuDEX,STEEM/BTS,$2.37,$61
15,RuDEX,STEEM/USD,$2.04,$57
16,OpenLedger DEX,STEEM/BITCNY,$2.27,$9
17,GOPAX,STEEM/KRW,$2.26,"$22,915"
