,market,pair,trade_price,trade_volume
0,Binance,STORM/BTC,$0.028206,"$35,221,800"
1,Binance,STORM/ETH,$0.028148,"$3,261,440"
2,Binance,STORM/BNB,$0.028407,"$738,911"
3,Coinrail,STORM/BTC,$0.028161,"$549,116"
4,Bancor Network,STORM/BNT,$0.028282,"$439,920"
5,HitBTC,STORM/BTC,$0.027121,"$416,743"
6,Coinnest,STORM/KRW,$0.026665,"$184,296"
7,YoBit,STORM/BTC,$0.028477,"$2,981"
8,IDEX,STORM/ETH,$0.029171,"$2,796"
9,Radar Relay,STORM/WETH,$0.022881,$663
10,ForkDelta,STORM/ETH,$0.023514,$78
11,YoBit,STORM/USD,$0.029400,$40
