,market,pair,trade_price,trade_volume
0,Binance,STRAT/BTC,$5.51,"$6,972,180"
1,Bittrex,STRAT/BTC,$5.47,"$2,458,430"
2,Upbit,STRAT/KRW,$5.69,"$2,317,380"
3,Upbit,STRAT/BTC,$5.47,"$1,570,660"
4,Poloniex,STRAT/BTC,$5.47,"$480,690"
5,Trade By Trade,STRAT/BTC,$5.47,"$355,855"
6,Binance,STRAT/ETH,$5.49,"$354,375"
7,Trade By Trade,STRAT/USDT,$5.43,"$83,036"
8,Livecoin,STRAT/BTC,$5.52,"$77,118"
9,Bittrex,STRAT/ETH,$5.49,"$75,647"
10,HitBTC,STRAT/BTC,$5.51,"$67,704"
11,Upbit,STRAT/ETH,$5.49,"$63,358"
12,Coinrail,STRAT/BTC,$5.49,"$22,048"
13,LiteBit.eu,STRAT/EUR,$5.52,"$18,454"
14,Cryptopia,STRAT/BTC,$5.42,"$11,759"
15,HitBTC,STRAT/USDT,$5.61,"$10,644"
16,HitBTC,STRAT/ETH,$5.61,"$4,449"
17,Bittylicious,STRAT/GBP,$7.92,$530
18,SouthXchange,STRAT/BTC,$5.44,$476
19,Abucoins,STRAT/BTC,$5.36,$369
20,Livecoin,STRAT/USD,$5.84,$115
21,SouthXchange,STRAT/USD,$5.50,$49
22,Livecoin,STRAT/ETH,$5.61,$3
23,Bittylicious,STRAT/EUR,$7.10,$0
24,Coinrail,STRAT/KRW,$6.40,$0
25,Coinhouse,STRAT/BTC,$8.05,$0
