,market,pair,trade_price,trade_volume
0,Huobi,PAY/BTC,$1.21,"$1,832,560"
1,Huobi,PAY/ETH,$1.21,"$1,738,590"
2,Bittrex,PAY/BTC,$1.19,"$544,281"
3,ChaoEX,PAY/ETH,$1.22,"$201,709"
4,Upbit,PAY/BTC,$1.19,"$139,481"
5,Liqui,PAY/ETH,$1.22,"$41,996"
6,LATOKEN,PAY/LA,$1.25,"$41,823"
7,Liqui,PAY/USDT,$1.18,"$38,004"
8,Liqui,PAY/BTC,$1.20,"$37,733"
9,OKEx,PAY/BTC,$1.20,"$37,591"
10,Vebitcoin,PAY/TRY,$1.35,"$32,789"
11,Bittrex,PAY/ETH,$1.23,"$28,247"
12,Kucoin,PAY/BTC,$1.18,"$18,666"
13,OKEx,PAY/USDT,$1.20,"$14,509"
14,Bit-Z,PAY/BTC,$1.22,"$11,940"
15,Kucoin,PAY/ETH,$1.26,"$11,424"
16,Gate.io,PAY/USDT,$1.22,"$10,593"
17,Upbit,PAY/ETH,$1.20,"$8,480"
18,Cryptopia,PAY/BTC,$1.20,"$4,168"
19,HitBTC,PAY/BTC,$1.18,"$2,991"
20,Livecoin,PAY/BTC,$1.20,"$2,133"
21,Gate.io,PAY/BTC,$1.20,"$1,889"
22,HitBTC,PAY/ETH,$1.24,"$1,719"
23,IDEX,PAY/ETH,$1.32,"$1,123"
24,OKEx,PAY/ETH,$1.23,$763
25,COSS,PAY/ETH,$1.23,$574
26,COSS,PAY/BTC,$1.22,$564
27,Gate.io,PAY/ETH,$1.30,$304
28,Livecoin,PAY/USD,$1.25,$287
29,Livecoin,PAY/ETH,$1.25,$6
30,BigONE,PAY/BTC,$1.27,$0
31,Coinrail,PAY/KRW,$1.51,$0
32,Cobinhood,PAY/ETH,$1.30,$101
33,Cobinhood,PAY/BTC,$1.20,$0
34,Cobinhood,PAY/USDT,$0.830386,$0
