,market,pair,trade_price,trade_volume
0,Binance,BTC/USDT,$1.00,"$359,410,000"
1,OKEx,BTC/USDT,$1.00,"$322,873,000"
2,Huobi,BTC/USDT,$0.997800,"$206,134,000"
3,OKEx,ETH/USDT,$1.00,"$106,244,000"
4,Huobi,EOS/USDT,$1.00,"$90,123,800"
5,Huobi,ETH/USDT,$0.998443,"$88,568,100"
6,OKEx,LTC/USDT,$1.00,"$74,138,700"
7,Binance,ETH/USDT,$1.00,"$66,630,300"
8,OKEx,ETC/USDT,$1.00,"$66,318,600"
9,Binance,NEO/USDT,$0.999298,"$56,288,200"
10,OKEx,EOS/USDT,$0.999818,"$55,882,200"
11,OKEx,BCH/USDT,$0.999463,"$53,423,100"
12,Binance,BNB/USDT,$1.00,"$50,132,200"
13,HitBTC,BTC/USDT,$0.977413,"$48,654,800"
14,Huobi,XRP/USDT,$1.00,"$40,606,200"
15,Huobi,BCH/USDT,$0.997395,"$40,166,600"
16,Huobi,DASH/USDT,$1.00,"$36,727,900"
17,Huobi,ETC/USDT,$1.00,"$34,455,400"
18,Bittrex,BTC/USDT,$1.00,"$34,367,300"
19,Binance,QTUM/USDT,$1.01,"$32,770,600"
20,Huobi,LTC/USDT,$1.00 ,"$29,698,000"
21,Poloniex,BTC/USDT,$0.998642,"$27,195,000"
22,Huobi,HT/USDT,$1.00,"$27,176,700"
23,OKEx,XRP/USDT,$1.00,"$21,743,200"
24,Binance,LTC/USDT,$0.998383,"$19,741,600"
25,ZB.COM,EOS/USDT,$0.996118,"$17,092,200"
26,CoinBene,BTC/USDT,$0.999389,"$14,047,300"
27,Huobi,ZEC/USDT,$1.00,"$13,719,600"
28,Gate.io,ETH/USDT,$0.996932,"$9,684,710"
29,Huobi,OMG/USDT,$0.998794,"$9,518,810"
30,CoinBene,BCH/USDT,$1.00,"$9,027,680"
31,Gate.io,EOS/USDT,$0.992840,"$9,015,280"
32,Huobi,IOST/USDT,$0.999601,"$8,136,320"
33,ZB.COM,ETH/USDT,$0.998182,"$7,340,780"
34,Poloniex,ETH/USDT,$1.00,"$6,703,110"
35,Binance,BCC/USDT,$1.00,"$6,409,210"
36,Huobi,XEM/USDT,$1.02,"$6,155,980"
37,OKEx,NEO/USDT,$0.989947,"$5,953,780"
38,HitBTC,ETH/USDT,$0.978067,"$5,865,640"
39,Bittrex,ETH/USDT,$0.999569,"$5,802,490"
40,CoinBene,XRP/USDT,$0.989204,"$5,757,240"
41,OKEx,QTUM/USDT,$1.01,"$5,684,460"
42,Huobi,NEO/USDT,$0.997686,"$5,352,350"
43,Gate.io,BTC/USDT,$1.00,"$5,239,260"
44,CoinBene,ETH/USDT,$1.00 ,"$5,159,860"
45,ZB.COM,ETC/USDT,$0.997491,"$4,985,730"
46,Poloniex,XRP/USDT,$1.00,"$4,877,810"
47,Bittrex,ADA/USDT,$1.03,"$4,470,190"
48,Trade By Trade,BTC/USDT,$1.01,"$4,436,690"
49,Huobi,QTUM/USDT,$1.01,"$4,336,810"
50,Poloniex,ETC/USDT,$1.01,"$4,330,280"
51,Liqui,SRN/USDT,$1.02,"$4,283,410"
52,HitBTC,BCH/USDT,$0.977923,"$3,687,170"
53,Huobi,ZIL/USDT,$0.996929,"$3,685,550"
54,OKEx,BCD/USDT,$3.04,"$3,416,790"
55,Upbit,BTC/USDT,$1.00,"$3,410,040"
56,Huobi,THETA/USDT, $1.00,"$3,267,380"
57,Huobi,STORJ/USDT,$1.01,"$3,158,560"
58,Bittrex,NEO/USDT,$0.997150,"$3,129,760"
59,HitBTC,LTC/USDT,$0.974739,"$3,047,880"
60,Huobi,HSR/USDT,$0.990760,"$3,021,760"
61,ZB.COM,HSR/USDT,$0.994046,"$2,748,580 "
62,Bittrex,XRP/USDT,$0.999987,"$2,732,720"
63,Poloniex,BCH/USDT,$0.996406,"$2,721,940"
64,HitBTC,XMR/USDT,$0.977917,"$2,719,990"
65,Huobi,DTA/USDT,$0.993217,"$2,691,910"
66,Huobi,RUFF/USDT,$1.01,"$2,585,560"
67,C2CX,BTC/USDT,$0.999896,"$2,544,720"
68,OKEx,IOTA/USDT,$1.01,"$2,509,600"
69,HitBTC,EOS/USDT,$0.973691,"$2,474,370"
70,HitBTC,ZEC/USDT,$0.981307,"$2,466,810"
71,Liqui,TRX/USDT,$1.02,"$2,444,660"
72,OKEx,BTM/USDT,$0.997686,"$2,406,080"
73,Poloniex,STR/USDT,$1.01," $2,399,170"
74,Liqui,BTC/USDT,$1.01,"$2,362,070"
75,Huobi,ELA/USDT,$0.994229,"$2,320,420"
