,market,pair,trade_price,trade_volume
0,Binance,TRX/BTC,$0.038747,"$65,847,800"
1,Binance,TRX/ETH,$0.038851,"$28,010,000"
2,Huobi,TRX/ETH,$0.039080,"$26,727,700"
3,Upbit,TRX/BTC,$0.039019,"$19,137,700"
4,Bit-Z,TRX/BTC,$0.039019,"$18,882,100"
5,Huobi,TRX/BTC,$0.039127,"$13,676,000"
6,Bittrex,TRX/BTC,$0.039019,"$13,175,100"
7,CoinEgg,TRX/BTC,$0.038539,"$11,173,100"
8,Bit-Z,TRX/ETH,$0.038966,"$6,889,670"
9,OKEx,TRX/BTC,$0.038747,"$3,675,660"
10,Liqui,TRX/ETH,$0.038960,"$3,626,270"
11,Liqui,TRX/BTC,$0.038928,"$3,112,190"
12,Liqui,TRX/USDT,$0.038344,"$2,444,660"
13,Ethfinex,TRX/USD,$0.038800,"$2,193,030"
14,Coinnest,TRON/KRW,$0.035115,"$2,041,940"
15,Huobi,TRX/USDT,$0.039143,"$1,973,130"
16,OKEx,TRX/ETH,$0.039029,"$1,534,650"
17,Koinex,TRX/INR,$0.040569,"$1,507,790"
18,Qryptos,TRX/ETH,$0.037900,"$1,052,550"
19,Qryptos,TRX/BTC,$0.038476,"$948,464"
20,OKEx,TRX/USDT,$0.038915,"$858,745"
21,HitBTC,TRX/BTC,$0.038838,"$627,716"
22,HitBTC,TRX/USDT,$0.039765,"$596,580"
23,Ethfinex,TRX/BTC,$0.038747,"$555,724"
24,Bittrex,TRX/ETH,$0.039058,"$483,070"
25,HitBTC,TRX/ETH,$0.038977,"$412,290"
26,Upbit,TRX/ETH,$0.039058,"$405,173"
27,Gatecoin,TRX/BTC,$0.040286,"$338,038"
28,Gate.io,TRX/USDT,$0.039015,"$307,111"
29,YoBit,TRX/BTC,$0.039109,"$222,062"
30,Ethfinex,TRX/ETH,$0.038633,"$190,706"
31,Coinrail,TRX/BTC,$0.038883,"$146,158"
32,Mercatox,TRX/ETH,$0.034919,"$107,464"
33,Bibox,TRX/BTC,$0.038657,"$94,458"
34,Vebitcoin,TRX/TRY,$0.040925,"$89,651"
35,Cryptopia,TRX/BTC,$0.039019,"$84,051"
36,YoBit,TRX/USD,$0.040000,"$72,593"
37,Bibox,TRX/ETH,$0.038863,"$63,008"
38,Gate.io,TRX/ETH,$0.039063,"$49,984"
39,Mercatox,TRX/BTC,$0.039200,"$47,042"
40,Bitbns,TRX/INR,$0.039647,"$41,867"
41,Ovis,TRX/TRY,$0.038495,"$32,660"
42,Bancor Network,TRX/BNT,$0.038773,"$25,172"
43,Livecoin,TRX/BTC,$0.038838,"$21,706"
44,Livecoin,TRX/USD,$0.039190,"$12,918"
45,IDEX,TRX/ETH,$0.045270,"$8,593"
46,Rfinex,TRX/ETH,$0.038462,"$7,382"
47,Livecoin,TRX/ETH,$0.038003,"$3,396"
48,Tidex,TRX/BTC,$0.037118,"$2,003"
49,BitFlip,TRX/RUB,$0.038890," $1,601"
50,Abucoins,TRX/BTC,$0.038838,$870
51,CoinFalcon,TRX/BTC,$0.040558,$489
52,BitFlip,TRX/USD,$0.041000,$462
53,Token Store,TRX/ETH,$0.028660,$294
54,CoinFalcon,TRX/ETH,$0.040519,$96
55,BitFlip,TRX/BTC,$0.045265,$57
56,Tidex,TRX/ETH,$0.045225,$37
57,Gatecoin,TRX/ETH,$0.040124,$20
58,BitFlip,TRX/UAH,$0.043444,$0
59,BitFlip,TRX/EUR,$0.030857,$0
60,Cobinhood,TRX/ETH,$0.038920,"$7,680"
61,Cobinhood,TRX/BTC,$0.038657,"$3,846 "
62,Cobinhood,TRX/USDT,$0.040015,$217
