,market,pair,trade_price,trade_volume
0,Binance,XVG/BTC,$0.034715,"$4,193,190"
1,Bittrex,XVG/BTC,$0.034715,"$2,470,410"
2,Upbit,XVG/BTC,$0.034805,"$1,743,010"
3,Binance,XVG/ETH,$0.034756,"$890,985"
4,Bittrex,XVG/USDT,$0.034466,"$650,124"
5,HitBTC,XVG/BTC,$0.034624,"$105,157"
6,Cryptopia,XVG/BTC, $0.034534,"$71,248"
7,LiteBit.eu,XVG/EUR,$0.034869,"$66,574"
8,YoBit,XVG/BTC,$0.034534,"$25,170"
9,HitBTC,XVG/USDT,$0.034960,"$20,852"
10,Cryptopia,XVG/USDT,$0.035090,"$20,038"
11,Upbit,XVG/USDT,$0.034806,"$12,367 "
12,YoBit,XVG/USD,$0.035134,"$10,866"
13,HitBTC,XVG/ETH,$0.034269,"$10,598"
14,Vebitcoin,XVG/TRY,$0.035810,"$4,593"
15,CryptoBridge,XVG/BTC,$0.034172,"$4,153"
16,Trade Satoshi,XVG/BTC,$0.032364,$769
17,SouthXchange,XVG/BTC,$0.034353,$256
18,TradeOgre,XVG/BTC,$0.033359,$175
19,SouthXchange,XVG/USD,$0.035100,$67
20,Trade Satoshi,XVG/LTC,$0.034344,$60
21,Trade Satoshi,XVG/DOGE,$0.032535,$5
22,Coinhouse,XVG/BTC,$0.027573,$2
23,SouthXchange,XVG/BCH,$0.030016,$0
24,Trade Satoshi,XVG/BCH,$0.031860,$0
25,Trade Satoshi,XVG/USDT,$0.040018,$0
