,market,pair,trade_price,trade_volume
0,Binance,WTC/BTC,$14.37,"$3,527,570"
1,Binance,WTC/ETH,$14.30,"$595,137"
2,Coinnest,WTC/KRW,$12.98,"$564,355"
3,OKEx,WTC/BTC,$14.16,"$92,235"
4,Binance,WTC/BNB,$14.28,"$70,615"
5,Kucoin,WTC/BTC,$14.29,"$41,252"
6,LATOKEN,WTC/LA,$14.32,"$17,453"
7,OKEx,WTC/USDT,$13.47,"$16,219"
8,HitBTC,WTC/BTC,$13.92,"$13,167"
9,OKEx,WTC/ETH,$14.16,"$3,827"
10,COSS,WTC/BTC,$14.48,$935
11,COSS,WTC/ETH,$14.60,$877
12,Coinlink,WTC/KRW,$10.25,$24
13,Allcoin,WALTON/BTC,$3.98,$0
14,Coinrail,WTC/KRW,$16.08,$0
15,Cobinhood,WTC/BTC, $7.31,$0
16,Cobinhood,WTC/ETH,$12.72,$0
