,market,pair,trade_price,trade_volume
0,Tidex,WAVES/BTC,$5.09,"$11,220,200"
1,Binance,WAVES/BTC,$5.12,"$5,425,880"
2,YoBit,WAVES/BTC,$5.11,"$1,754,700"
3,Exmo,WAVES/BTC,$5.02,"$580,479"
4,Bittrex,WAVES/BTC,$5.09,"$527,768"
5,Binance,WAVES/ETH,$5.10,"$262,480"
6,Upbit,WAVES/KRW,$5.28,"$217,430"
7,Waves Decentralized Exchange,WAVES/BTC,$5.08,"$187,932"
8,Upbit,WAVES/BTC,$5.07,"$172,885"
9,Livecoin,WAVES/BTC,$5.13,"$157,611"
10,Bitcoin Indonesia,WAVES/IDR,$5.22,"$121,794"
11,Liqui,WAVES/BTC,$5.08,"$94,768"
12,Liqui,WAVES/ETH,$5.08,"$88,011"
13,Liqui,WAVES/USDT,$4.99,"$85,452"
14,Tidex,WAVES/ETH,$5.09,"$75,432"
15,Tidex,BCH/WAVES,$5.12,"$62,401"
16,Tidex,WAVES/USDT,$5.05,"$60,935"
17,Waves Decentralized Exchange,WAVES/USD,$5.25,"$55,689"
18,Waves Decentralized Exchange,ETH/WAVES,$5.06 ,"$54,772"
19,Exmo,WAVES/RUB,$4.83,"$53,147"
20,Tidex,LTC/WAVES,$5.11,"$32,654"
21,Binance,WAVES/BNB,$5.06,"$30,489"
22,Tidex,DASH/WAVES,$5.06,"$29,152"
23,Waves Decentralized Exchange,WAVES/EUR,$5.18,"$19,487"
24,Waves Decentralized Exchange,ZEC/WAVES,$5.12,"$19,384"
25,Gate.io,WAVES/USDT,$5.33,"$16,543"
26,Tidex,TDX/WAVES,$5.11,"$14,475"
27,Tidex,PBT/WAVES,$5.06,"$11,851"
28,Tidex,WCT/WAVES,$5.07,"$11,361"
29,YoBit,WAVES/USD,$5.25,"$10,701"
30,Waves Decentralized Exchange,WGR/WAVES,$5.20 ,"$9,148"
31,HitBTC,WAVES/BTC,$5.12,"$8,834"
32,Tidex,KOLION/WAVES,$5.13,"$8,746"
33,Bittrex,WAVES/ETH,$5.16,"$8,529"
34,Waves Decentralized Exchange,LTC/WAVES,$5.10,"$7,181"
35,Waves Decentralized Exchange,BCC/WAVES,$5.11,"$7,033"
36,Tidex,ZRC/WAVES,$5.09,"$6,960"
37,Waves Decentralized Exchange,WCT/WAVES,$5.04,"$6,362"
38,Exrates,WAVES/USD,$5.04,"$6,258"
39,Tidex,MRT/WAVES,$5.06,"$5,873"
40,Tidex,EDG/WAVES,$5.15,"$5,828"
41,Exrates,WAVES/BTC,$5.13,"$5,561"
42,Waves Decentralized Exchange,OCL/WAVES,$4.88 ,"$5,557"
43,Tidex,TRCT/WAVES,$5.03,"$5,300"
44,Upbit,WAVES/ETH,$5.16,"$4,220"
45,Waves Decentralized Exchange,B@/WAVES,$9.92,"$3,062"
46,Waves Decentralized Exchange,EFYT/WAVES,$5.11,"$2,565"
47,Waves Decentralized Exchange,STA/WAVES,$5.01,"$2,342 "
48,Waves Decentralized Exchange,MRT/WAVES,$5.25,"$2,226"
49,Gate.io,WAVES/BTC,$5.14,"$2,209"
50,Kuna,WAVES/UAH,$5.25,"$2,136"
51,LiteBit.eu,WAVES/EUR,$5.12,"$1,912"
