,market,pair,trade_price,trade_volume
0,Huobi,ZEC/USDT,$265.39,"$13,719,600"
1,Lbank,ZEC/BTC,$266.32,"$6,863,890"
2,HitBTC,ZEC/BTC,$264.66,"$6,307,130"
3,Lbank,ZEC/ETH,$267.27,"$4,871,180"
4,Bithumb,ZEC/KRW,$274.16,"$4,311,070"
5,Huobi,ZEC/BTC,$265.17,"$3,750,520"
6,Bitfinex,ZEC/USD,$264.10,"$3,229,830"
7,HitBTC,ZEC/USDT,$271.13,"$2,466,810"
8,WEX,ZEC/USD,$265.44,"$2,345,850"
9,Bit-Z,ZEC/BTC,$264.46,"$2,180,470"
10,Binance,ZEC/BTC,$264.46,"$2,165,100"
11,Bittrex,ZEC/BTC,$264.00,"$1,620,180"
12,Poloniex,ZEC/BTC,$264.15,"$1,506,380"
13,WEX,ZEC/BTC,$264.88,"$1,199,520"
14,Bitfinex,ZEC/BTC,$263.78,"$1,143,570 "
15,Kraken,ZEC/USD,$265.00,"$1,085,660"
16,Bittrex,ZEC/USDT,$266.43,"$1,042,330"
17,Poloniex,ZEC/USDT,$267.09,"$1,013,260"
18,WEX,ETH/ZEC,$264.99,"$827,573"
19,Exmo,ZEC/USD,$269.15,"$658,239"
20,Kraken,ZEC/EUR,$265.37,"$642,676"
21,WEX,DSH/ZEC,$264.51,"$601,736"
22,WEX,ZEC/LTC,$264.11,"$595,001"
23,BCEX,ZEC/BTC,$274.41,"$541,314"
24,Upbit,ZEC/BTC,$264.00,"$439,056"
25,Kraken,ZEC/BTC,$264.88,"$384,107"
26,Exmo,ZEC/BTC,$264.86,"$349,322"
27,C2CX,ZEC/USDT,$264.12,"$342,149"
28,Binance,ZEC/ETH,$264.69,"$337,178"
29,OTCBTC,ZEC/BTC,$264.02,"$244,721"
30,Upbit,ZEC/KRW,$275.47,"$233,093"
31,OKEx,ZEC/USDT,$266.13,"$210,732"
32,Ovis,ZEC/TRY,$276.50,"$172,600"
33,CoinEx,ZEC/BTC,$263.45,"$146,350"
34,Bittrex,ZEC/ETH,$264.81,"$143,837"
35,Exmo,ZEC/RUB,$253.64,"$139,672"
36,Poloniex,ZEC/XMR,$265.19,"$124,676"
37,CoinEx,ZEC/BCH,$265.95,"$108,701"
38,OTCBTC,ZEC/ETH,$267.39,"$101,906"
39,OKEx,ZEC/BTC,$265.89,"$94,050"
40,CEX.IO,ZEC/USD,$267.52,"$83,073"
41,Exmo,ZEC/EUR,$270.14,"$78,610"
42,Gate.io,ZEC/USDT,$262.73,"$70,331"
43,HitBTC,ZEC/ETH,$264.61,"$64,982 "
44,YoBit,ZEC/BTC,$264.09,"$51,787"
45,Poloniex,ZEC/ETH,$264.58,"$46,170"
46,YoBit,ZEC/USD,$272.45,"$42,137"
47,Cryptopia,ZEC/BTC,$263.27,"$40,208"
48,BTC-Alpha,ZEC/BTC,$263.78,"$35,513"
49,Vebitcoin,ZEC/TRY,$290.52,"$28,735"
50,CEX.IO,ZEC/BTC,$265.13 ,"$24,725"
51,Gate.io,ZEC/BTC,$262.17,"$22,509"
52,BX Thailand,ZEC/BTC,$261.30,"$21,623"
53,Waves Decentralized Exchange,ZEC/WAVES,$264.84,"$19,384"
54,The Rock Trading,ZEC/EUR,$266.85,"$19,210"
55,Upbit,ZEC/ETH,$267.75,"$14,132"
56,Coinroom,ZEC/PLN,$257.84,"$10,021"
57,Cryptopia,ZEC/USDT,$264.67,"$9,761"
58,Upbit,ZEC/USDT,$257.84,"$9,439"
59,BTC Trade UA,ZEC/UAH,$248.79,"$8,658"
60,Waves Decentralized Exchange,ZEC/BTC,$264.73,"$7,704"
61,CEX.IO,ZEC/EUR,$262.64,"$6,286"
62,BigONE,ZEC/BTC,$262.58,"$6,074"
63,Kraken,ZEC/JPY,$276.19,"$5,488"
64,Altcoin Trader,ZEC/ZAR,$276.32,"$4,515"
65,OKEx,ZEC/ETH,$261.58,"$4,300"
66,The Rock Trading,ZEC/BTC,$265.69,"$2,113"
67,Braziliex,ZEC/BRL,$269.40,"$1,073"
68,Allcoin,ZEC/BTC,$272.26,$974
69,CoinExchange,ZEC/BTC,$259.46,$525
70,Trade Satoshi,ZEC/BTC,$258.55,$480
71,LiteBit.eu,ZEC/EUR,$265.58,$133
72,Trade Satoshi,ZEC/LTC,$202.63,$106
73,Abucoins,ZEC/BTC,$268.12,$90
74,Trade Satoshi,ZEC/USDT,$262.12 ,$88
75,Bitlish,ZEC/RUB,$301.09,$52
76,Qryptos,ZEC/BTC,$180.81,$18
77,Braziliex,ZEC/BTC,$271.21,$18
78,BarterDEX,ZEC/KMD,$210.26,$14
79,Bitlish,ZEC/USD,$276.50,$10
80,Cryptohub,ZEC/BTC,$271.21,$7
81,Tux Exchange,ZEC/BTC,$291.30,$6
82,Trade Satoshi,ZEC/DOGE,$326.36,$1
83,Cryptomate,ZEC/GBP,$288.78,$0
84,Bitlish,ZEC/EUR,$259.07,$0
85,Mercatox,ZEC/BTC,$334.49,$0
86,BigONE,ZEC/USDT,$249.30,$0
87,Coinrail,ZEC/KRW,$348.24,$0
88,GOPAX,ZEC/KRW,$272.28,"$13,596"
89,GOPAX,ZEC/BTC,$433.94,$174
