,market,pair,trade_price,trade_volume
0,Binance,XZC/BTC,$41.52,"$756,743"
1,Bittrex,XZC/BTC,$41.64,"$542,826"
2,Bitcoin Indonesia,XZC/IDR,$42.53," $242,396"
3,BX Thailand,XZC/THB,$40.91,"$173,373"
4,Binance,XZC/ETH,$41.91,"$134,405"
5,Upbit,XZC/BTC,$41.10,"$50,543"
6,Binance,XZC/BNB,$41.20,"$27,501"
7,AEX,XZC/BITCNY,$37.83,"$8,755"
8,Cryptopia,XZC/BTC,$41.45,"$8,481"
9,LiteBit.eu,XZC/EUR,$41.74,"$1,510"
10,TDAX,XZC/THB,$42.58,"$1,229"
11,CryptoBridge,XZC/BTC,$37.32,"$1,174"
12,CoinExchange,XZC/BTC,$65.99,$0
