,market,pair,trade_price,trade_volume
0,Huobi,ZIL/BTC,$0.049309,"$3,705,790"
1,Huobi,ZIL/USDT,$0.049537,"$3,685,550"
2,Huobi,ZIL/ETH,$0.049384,"$3,505,100"
3,Binance,ZIL/BTC,$0.049249,"$2,840,660"
4,Binance,ZIL/ETH,$0.049404,"$1,357,470"
5,Gate.io,ZIL/USDT,$0.049119,"$136,220"
6,Kucoin,ZIL/BTC,$0.048705,"$84,263"
7,Kucoin,ZIL/ETH,$0.049295,"$71,645"
8,Binance,ZIL/BNB,$0.050159,"$69,596"
9,IDEX,ZIL/ETH,$0.050728,"$13,846"
10,Bitbns,ZIL/INR,$0.052708,"$13,567"
11,Gate.io,ZIL/ETH,$0.048722,"$8,081"
12,Radar Relay,ZIL/WETH,$0.048601,"$1,529"
13,ForkDelta,ZIL/ETH,$0.050659,$179
14,OTCBTC,ZIL/ETH,$0.033245,$0
